rv_id,hv_id,target_id,msg_generation_time,msg_rcv_time,rv_msg_count,rv_wsm_data,rv_pos_x,rv_pos_y,rv_pos_z,rv_speed,rv_accel,rv_heading,rv_yaw_rate,rv_length,rv_width,rv_height,hv_msg_count,hv_wsm_data,hv_pos_x,hv_pos_y,hv_pos_z,hv_speed,hv_accel,hv_heading,hv_length,hv_width,hv_height,attack_type,eebl_warn,ima_warn,attack_type_num
354,108,-1,66.9172,66.917272483275,28,genuine,521.469,3984.31,10.8665,1.37242e-5,-1.51126e-5,1.69315,0,5,1.8,1.5,28,genuine,1767.91,2686.31,0,25.1502,2.16633,2.00377,5,1.8,1.5,RandomPosition,0,0,0
264,534,-1,94.8619,94.861998928451,51,genuine,1724.53,2407.79,0,12.5472,-0.293617,-1.43752,0,5,1.8,1.5,26,genuine,1741.37,2585.3,0,5.08182,-1.13665,1.54626,5,1.8,1.5,Genuine,0,0,0
156,120,-1,95.451,95.451074966667,57,genuine,2248.5,3222.13,0,20.7612,0.600444,2.2066,0.284442,5,1.8,1.5,58,genuine,2318.88,3335.46,0,20.0822,0.379619,2.11919,5,1.8,1.5,Genuine,0,0,0
402,510,-1,39.7219,39.721991719686,12,genuine,1268.59,1622.64,0,5.83337,-0.582805,-2.70058,-0.05181,5,1.8,1.5,115,genuine,1015.06,1655.42,0,29.1814,0.283388,0.707283,5,1.8,1.5,Genuine,0,0,0
300,282,-1,12.0984,12.098517799226,119,genuine,1322.99,1021.23,0,21.6723,-4.39173,-0.983308,0.109619,5,1.8,1.5,120,genuine,1407.25,1150.29,0,23.585,1.57506,-1.0944,5,1.8,1.5,Genuine,0,0,0
492,294,-1,68.8464,68.846473941152,47,genuine,2653.61,2967.6,16.3519,24.5108,0.352534,-0.833661,1.89959e-12,5,1.8,1.5,48,genuine,2759.88,2316.07,0,23.8972,-0.66416,-3.08708,5,1.8,1.5,RandomPosition,0,0,0
444,582,-1,98.1263,98.126443295618,84,genuine,4776.73,3314.48,36.7708,0,0,2.26024,0,5,1.8,1.5,30,genuine,1483.89,1299.93,0,22.8931,0.567029,-0.61157,5,1.8,1.5,RandomPosition,0,0,0
456,300,-1,53.7831,53.783214135565,24,genuine,1577.11,1387.15,0,19.6234,1.69487,2.18724,0.0740792,5,1.8,1.5,24,genuine,1356.91,1214.01,0,20.5933,0.29171,-0.565095,5,1.8,1.5,Genuine,0,0,0
570,60,-1,7.61794,7.618044306263,48,genuine,3067.75,928.306,0,9.51037,1.39276,-1.62997,0,5,1.8,1.5,75,genuine,3066.06,956.824,0,10.5759,0.257471,-1.62997,5,1.8,1.5,Genuine,0,0,0
24,60,-1,99.3298,99.330053464733,96,genuine,2988.85,1290.22,0,3.47915,1.80698,-2.61116,2.02949e-12,5,1.8,1.5,96,genuine,2947.35,1310.94,0,4.85495,2.55939,-1.08107,5,1.8,1.5,Genuine,0,0,0
