NewCreditCustomer,Age,Gender,Country,Amount,Interest,LoanDuration,MonthlyPayment,MonthlyPaymentDay,Education,HomeOwnershipType,IncomeTotal,LiabilitiesTotal,ProbabilityOfDefault,PrincipalBalance
FALSE,32,0,EE,212,28.02,60,7,10,4,3,1900,74.73,0.1052143461499453,212
FALSE,32,0,EE,1382,25.54,60,44,8,1,3,3400,370,0.0366214111891521,1382
TRUE,44,0,FI,518,19.34,60,13,12,3,1,3300,982.75,0.0329020991921424,518
FALSE,44,0,EE,850,21.91,60,25,13,4,2,1400,75.09,0.0513573196471062,850
FALSE,33,0,EE,106,33.12,60,4,4,5,2,1100,76.21,0.0848809358193381,106
FALSE,43,1,EE,106,24.19,60,3,1,5,1,3300,690.28,0.0632357319142984,106
FALSE,29,1,EE,212,25.51,60,7,13,3,1,1800,382.29,0.038570548099129597,210.09
FALSE,39,1,EE,531,25.54,60,17,18,5,8,1400,730.25,0.0669931923725048,531
FALSE,48,0,EE,1063,24.21,60,33,13,4,1,1250,54,0.0608132635161254,1063
FALSE,24,1,EE,212,34.44,60,8,11,1,2,1100,227.93,0.1374460051703761,212
FALSE,36,0,EE,5316,21.9,60,159,9,3,3,3000,516.77,0.0124960285720749,5316
FALSE,25,1,EE,106,24.2,60,3,3,4,10,1400,487.05,0.0489762357801112,106
FALSE,43,1,EE,2126,24.2,60,66,1,5,1,3300,690.28,0.0632357319142984,2126
FALSE,29,0,EE,5316,24.18,60,164,13,5,2,1200,251.09,0.0485013359313279,5115.33
FALSE,24,0,EE,956,24.21,60,30,4,4,2,1800,515.75,0.0578727818881819,956
FALSE,33,0,EE,1488,33.13,60,52,12,4,3,1900,871.86,0.0783333882532762,0
FALSE,38,1,EE,744,21.91,60,22,10,4,10,1400,86.37,0.0363011415902225,744
FALSE,37,1,EE,3189,33.13,60,112,10,4,10,1500,165.97,0.0984649060221136,3189
FALSE,33,0,EE,106,33.12,60,4,4,5,2,1100,61.74,0.0848809358193381,106
FALSE,35,0,EE,425,25.54,60,13,4,3,1,1700,584.19,0.0404980116447242,425
FALSE,43,1,EE,106,24.19,60,3,1,5,1,3300,690.28,0.0632357319142984,106
FALSE,30,0,EE,850,36.36,60,31,18,3,3,1560,360,0.130935773428454,844.02
FALSE,27,0,EE,106,34.44,60,4,11,5,3,1100,281.79,0.1393983533288678,106
FALSE,32,0,EE,1701,28.03,60,56,8,1,3,3400,370,0.0717852984534618,1701
FALSE,32,0,EE,2126,28.03,60,69,8,1,3,3400,370,0.0717852984534618,2126
FALSE,43,1,EE,106,24.19,60,3,1,5,1,3300,690.28,0.0632357319142984,106
FALSE,47,1,EE,212,25.54,60,7,8,3,1,1400,213.91,0.0581234073562353,212
FALSE,24,1,EE,531,33.08,60,19,11,1,2,1100,227.93,0.0856028236854129,526.98
FALSE,41,0,FI,518,19.32,60,13,18,3,3,3100,510.68,0.0357896722853183,512.73
FALSE,23,0,EE,531,25.51,60,17,13,3,3,1700,196.74,0.0317357334368291,524.62
FALSE,27,1,EE,212,27.99,60,7,13,5,3,2400,216.42,0.1034222805267145,210.19
FALSE,24,1,EE,212,33.08,60,7,11,1,2,1100,227.93,0.0856028236854129,210.39
TRUE,44,0,FI,518,19.34,60,13,12,3,1,3300,982.75,0.0329020991921424,518
FALSE,41,0,EE,5316,25.52,60,168,16,1,8,1800,769.99,0.0157824711117221,5268.02
FALSE,33,1,EE,531,25.54,60,17,12,5,10,1280,191.61,0.013885990044325,531
FALSE,48,0,EE,318,36.37,60,12,25,3,3,1300,363.9,0.1772138258630357,318
FALSE,35,0,EE,1063,36.41,60,39,11,4,1,2400,200,0.1380419811156492,1063
FALSE,60,1,FI,4249,15.19,119,53,27,5,3,3500,633.89,0.0752032473683357,4249
FALSE,33,0,EE,106,33.12,60,4,4,5,2,1100,76.21,0.0848809358193381,106
FALSE,33,1,EE,956,33.13,60,34,3,4,10,1400,122,0.0842036678482927,956
FALSE,49,1,EE,1169,21.88,60,35,10,5,1,2000,83.02,0.0053362342922863,1157.51
FALSE,55,1,EE,1594,21.88,60,48,18,4,1,1209,575,0.0163664299904002,1578.33
FALSE,37,1,EE,212,33.09,60,7,13,3,1,1420,207.36,0.0755579672871873,210.39
FALSE,36,1,EE,106,34.44,60,4,11,3,1,1175,623.68,0.1614121475194168,106
FALSE,43,1,EE,531,24.19,60,16,1,5,1,3300,690.28,0.0632357319142984,531
FALSE,29,1,EE,1594,28.02,60,52,18,4,3,1190,426.66,0.0711824442545794,1594
FALSE,37,1,EE,212,33.09,60,7,13,3,1,1420,207.36,0.0755579672871873,210.39
FALSE,26,0,EE,3721,34.43,60,133,13,4,1,2100,185,0.1359112374628369,3721
FALSE,26,0,EE,1382,24.21,60,43,8,1,10,1600,495.09,0.065187406989412,1382
FALSE,24,1,EE,2977,25.54,60,94,7,4,10,1000,204.4,0.0504708210657503,2977
FALSE,33,0,EE,531,33.13,60,19,12,4,3,1900,871.86,0.1089264895159055,0
FALSE,43,1,EE,106,24.2,60,3,1,5,1,3300,690.28,0.0632357319142984,106
FALSE,34,0,EE,1063,24.21,60,33,13,1,1,1400,491.56,0.0565472397905152,1063
FALSE,26,0,EE,318,28.03,60,10,13,4,10,1500,347.6,0.098871288140509,318
FALSE,27,1,EE,212,27.99,60,7,13,5,3,2400,216.42,0.1034222805267145,210.19
FALSE,35,1,EE,212,33.11,60,7,27,4,1,2300,190.98,0.0939347790105057,212
FALSE,33,0,EE,2126,33.13,60,75,12,4,3,1900,871.86,0.0783333882532762,2126
FALSE,47,1,EE,2126,28.03,60,69,9,3,1,2500,213.56,0.0870741930328131,2126
FALSE,35,1,EE,425,33.16,60,15,27,4,1,2300,190.98,0.0939347790105057,425
FALSE,24,1,EE,1063,34.43,60,38,8,3,1,1400,329.09,0.1484368707081513,1063
FALSE,22,0,EE,106,28.03,60,3,11,1,2,1300,397.61,0.11333778379703,106
