year,month,line,count,total,percentage,winter
2017,APRIL          ,Northeast Corridor     ,2602,3228,80.6,0
2017,AUGUST         ,Northeast Corridor     ,3367,3709,90.8,0
2017,DECEMBER       ,Northeast Corridor     ,3018,3493,86.4,1
2017,FEBRUARY       ,Northeast Corridor     ,2890,3224,89.6,1
2017,JANUARY        ,Northeast Corridor     ,3071,3500,87.7,1
2017,JULY           ,Northeast Corridor     ,3228,3484,92.7,0
2017,JUNE           ,Northeast Corridor     ,2841,3574,79.5,0
2017,MARCH          ,Northeast Corridor     ,3245,3556,91.3,0
2017,MAY            ,Northeast Corridor     ,2863,3637,78.7,0
2017,NOVEMBER       ,Northeast Corridor     ,3186,3513,90.7,0
2017,OCTOBER        ,Northeast Corridor     ,3173,3639,87.2,0
2017,SEPTEMBER      ,Northeast Corridor     ,3055,3420,89.3,0
2018,APRIL          ,Northeast Corridor     ,3159,3496,90.4,0
2018,AUGUST         ,Northeast Corridor     ,3254,3642,89.3,0
2018,DECEMBER       ,Northeast Corridor     ,3016,3366,89.6,1
2018,FEBRUARY       ,Northeast Corridor     ,2992,3224,92.8,1
2018,JANUARY        ,Northeast Corridor     ,2929,3574,82,1
2018,JULY           ,Northeast Corridor     ,3125,3499,89.3,0
2018,JUNE           ,Northeast Corridor     ,3163,3434,92.1,0
2018,MARCH          ,Northeast Corridor     ,3025,3501,86.4,0
2018,MAY            ,Northeast Corridor     ,3310,3635,91.1,0
2018,NOVEMBER       ,Northeast Corridor     ,2833,3387,83.6,0
2018,OCTOBER        ,Northeast Corridor     ,3115,3606,86.4,0
2018,SEPTEMBER      ,Northeast Corridor     ,2979,3289,90.6,0
2019,APRIL          ,Northeast Corridor     ,3218,3439,93.6,0
2019,AUGUST         ,Northeast Corridor     ,3250,3504,92.8,0
2019,DECEMBER       ,Northeast Corridor     ,3131,3441,91,1
2019,FEBRUARY       ,Northeast Corridor     ,2748,3110,88.4,1
2019,JANUARY        ,Northeast Corridor     ,2959,3448,85.8,1
2019,JULY           ,Northeast Corridor     ,3037,3505,86.6,0
2019,JUNE           ,Northeast Corridor     ,2974,3299,90.1,0
2019,MARCH          ,Northeast Corridor     ,3202,3434,93.2,0
2019,MAY            ,Northeast Corridor     ,3309,3512,94.2,0
2019,NOVEMBER       ,Northeast Corridor     ,2967,3316,89.5,0
2019,OCTOBER        ,Northeast Corridor     ,3303,3573,92.4,0
2019,SEPTEMBER      ,Northeast Corridor     ,2997,3304,90.7,0
2020,APRIL          ,Northeast Corridor     ,1992,2080,95.8,0
2020,AUGUST         ,Northeast Corridor     ,2816,3064,91.9,0
2020,DECEMBER       ,Northeast Corridor     ,2934,3161,92.8,1
2020,FEBRUARY       ,Northeast Corridor     ,2869,3173,90.4,1
2020,JANUARY        ,Northeast Corridor     ,3159,3451,91.5,1
2020,JULY           ,Northeast Corridor     ,3098,3377,91.7,0
2020,JUNE           ,Northeast Corridor     ,2002,2052,97.6,0
2020,MARCH          ,Northeast Corridor     ,2779,3003,92.5,0
2020,MAY            ,Northeast Corridor     ,2030,2135,95.1,0
2020,NOVEMBER       ,Northeast Corridor     ,2909,3049,95.4,0
2020,OCTOBER        ,Northeast Corridor     ,3195,3281,97.4,0
2020,SEPTEMBER      ,Northeast Corridor     ,3077,3159,97.4,0
2021,APRIL          ,Northeast Corridor     ,3043,3218,94.6,0
2021,AUGUST         ,Northeast Corridor     ,3162,3371,93.8,0
2021,DECEMBER       ,Northeast Corridor     ,3232,3474,93,1
2021,FEBRUARY       ,Northeast Corridor     ,2442,2683,91,1
2021,JANUARY        ,Northeast Corridor     ,2906,3112,93.4,1
2021,JULY           ,Northeast Corridor     ,3109,3314,93.8,0
2021,JUNE           ,Northeast Corridor     ,3110,3290,94.5,0
2021,MARCH          ,Northeast Corridor     ,3163,3342,94.6,0
2021,MAY            ,Northeast Corridor     ,3019,3163,95.4,0
2021,NOVEMBER       ,Northeast Corridor     ,2936,3241,90.6,0
2021,OCTOBER        ,Northeast Corridor     ,3054,3311,92.2,0
2021,SEPTEMBER      ,Northeast Corridor     ,2746,3118,88.1,0
2022,APRIL          ,Northeast Corridor     ,3143,3327,94.5,0
2022,AUGUST         ,Northeast Corridor     ,3133,3533,88.7,0
2022,DECEMBER       ,Northeast Corridor     ,3144,3417,92,1
2022,FEBRUARY       ,Northeast Corridor     ,2790,3072,90.8,1
2022,JANUARY        ,Northeast Corridor     ,3096,3338,92.8,1
2022,JULY           ,Northeast Corridor     ,3034,3336,90.9,0
2022,JUNE           ,Northeast Corridor     ,3052,3397,89.8,0
2022,MARCH          ,Northeast Corridor     ,3340,3525,94.8,0
2022,MAY            ,Northeast Corridor     ,3016,3392,88.9,0
2022,NOVEMBER       ,Northeast Corridor     ,2947,3288,89.6,0
2022,OCTOBER        ,Northeast Corridor     ,3086,3401,90.7,0
2022,SEPTEMBER      ,Northeast Corridor     ,2957,3337,88.6,0
2023,APRIL          ,Northeast Corridor     ,2967,3270,90.7,0
2023,AUGUST         ,Northeast Corridor     ,3192,3551,89.9,0
2023,DECEMBER       ,Northeast Corridor     ,3058,3370,90.7,1
2023,FEBRUARY       ,Northeast Corridor     ,2774,3081,90,1
2023,JANUARY        ,Northeast Corridor     ,3084,3356,91.9,1
2023,JULY           ,Northeast Corridor     ,2876,3363,85.5,0
2023,JUNE           ,Northeast Corridor     ,3122,3429,91,0
2023,MARCH          ,Northeast Corridor     ,3130,3533,88.6,0
2023,MAY            ,Northeast Corridor     ,3092,3477,88.9,0
2023,NOVEMBER       ,Northeast Corridor     ,3064,3386,90.5,0
2023,OCTOBER        ,Northeast Corridor     ,3075,3500,87.9,0
2023,SEPTEMBER      ,Northeast Corridor     ,2866,3308,86.6,0
2024,APRIL          ,Northeast Corridor     ,2972,3432,,0
2024,AUGUST         ,Northeast Corridor     ,,,86.7,0
2024,DECEMBER       ,Northeast Corridor     ,,3455,86.2,1
2024,FEBRUARY       ,Northeast Corridor     ,2887,3253,,1
2024,JANUARY        ,Northeast Corridor     ,3010,,,1
2024,JULY           ,Northeast Corridor     ,2983,,85.1,0
2024,JUNE           ,Northeast Corridor     ,2501,3311,75.5,0
2024,MARCH          ,Northeast Corridor     ,3099,,90.2,0
2024,MAY            ,Northeast Corridor     ,3017,3512,85.9,0
2024,NOVEMBER       ,Northeast Corridor     ,,3264,,0
2024,OCTOBER        ,Northeast Corridor     ,3180,3577,88.9,0
2024,SEPTEMBER      ,Northeast Corridor     ,,3308,88,0
2025,APRIL          ,Northeast Corridor     ,3050,3437,88.7,0
2025,AUGUST         ,Northeast Corridor     ,3013,3473,86.8,0
2025,DECEMBER       ,Northeast Corridor     ,2996,3554,84.3,1
2025,FEBRUARY       ,Northeast Corridor     ,2569,3120,82.3,1
2025,JANUARY        ,Northeast Corridor     ,2909,3457,84.1,1
2025,JULY           ,Northeast Corridor     ,2916,3533,82.5,0
2025,JUNE           ,Northeast Corridor     ,2832,3395,83.4,0
2025,MARCH          ,Northeast Corridor     ,2917,3442,84.7,0
2025,MAY            ,Northeast Corridor     ,2659,3033,87.7,0
2025,NOVEMBER       ,Northeast Corridor     ,2895,3233,89.5,0
2025,OCTOBER        ,Northeast Corridor     ,3196,3619,88.3,0
2025,SEPTEMBER      ,Northeast Corridor     ,3162,3437,92,0
2026,JANUARY        ,Northeast Corridor     ,2776,3231,85.9,1
