station_from,station_to,line
New York Penn Station ,Secaucus Junction ,Northeast Corridor Line
Secaucus Junction ,Newark Penn Station ,Northeast Corridor Line
Newark Penn Station ,Newark Airport,Northeast Corridor Line
Newark Airport,North Elizabeth ,Northeast Corridor Line
North Elizabeth ,Elizabeth ,Northeast Corridor Line
Elizabeth ,Linden ,Northeast Corridor Line
Linden ,Rahway ,Northeast Corridor Line
Rahway ,Metropark ,Northeast Corridor Line
Metropark ,Metuchen ,Northeast Corridor Line
Metuchen ,Edison ,Northeast Corridor Line
Edison ,New Brunswick ,Northeast Corridor Line
New Brunswick ,Jersey Avenue,Northeast Corridor Line
Jersey Avenue,Princeton Junction ,Northeast Corridor Line
Princeton Junction ,Lawrence,Northeast Corridor Line
Lawrence,Hamilton ,Northeast Corridor Line
Hamilton ,Trenton Transit Center,Northeast Corridor Line
Princeton Junction ,Princeton ,Princeton Branch
Pennsylvania Station ,Secaucus Junction ,North Jersey Coast Line
Secaucus Junction ,Pennsylvania Station ,North Jersey Coast Line
Pennsylvania Station ,South Street,North Jersey Coast Line
South Street,Newark Airport,North Jersey Coast Line
Newark Airport,North Elizabeth ,North Jersey Coast Line
North Elizabeth ,Elizabeth ,North Jersey Coast Line
Elizabeth ,South Elizabeth,North Jersey Coast Line
South Elizabeth,Linden ,North Jersey Coast Line
Linden ,Rahway ,North Jersey Coast Line
Rahway ,Avenel,North Jersey Coast Line
Avenel,Woodbridge ,North Jersey Coast Line
Woodbridge ,Genasco,North Jersey Coast Line
Genasco,Perth Amboy,North Jersey Coast Line
Perth Amboy,South Amboy ,North Jersey Coast Line
South Amboy ,Laurence Harbor,North Jersey Coast Line
Laurence Harbor,Aberdeen-Matawan ,North Jersey Coast Line
Aberdeen-Matawan ,Hazlet ,North Jersey Coast Line
Hazlet ,Middletown ,North Jersey Coast Line
Middletown ,Red Bank ,North Jersey Coast Line
Red Bank ,Little Silver,North Jersey Coast Line
Little Silver,Monmouth Park,North Jersey Coast Line
Monmouth Park,Long Branch ,North Jersey Coast Line
Long Branch ,Elberon ,North Jersey Coast Line
Elberon ,Allenhurst,North Jersey Coast Line
Allenhurst,Asbury Park ,North Jersey Coast Line
Asbury Park ,Bradley Beach,North Jersey Coast Line
Bradley Beach,Belmar,North Jersey Coast Line
Belmar,Spring Lake,North Jersey Coast Line
Spring Lake,Manasquan,North Jersey Coast Line
Manasquan,Point Pleasant Beach ,North Jersey Coast Line
Point Pleasant Beach ,Bay Head,North Jersey Coast Line
Pennsylvania Station ,Secaucus Junction ,Raritan Valley Line
Secaucus Junction ,Pennsylvania Station ,Raritan Valley Line
Pennsylvania Station ,South Street,Raritan Valley Line
South Street,Union ,Raritan Valley Line
Union ,Roselle Park,Raritan Valley Line
Roselle Park,Cranford ,Raritan Valley Line
Cranford ,Garwood,Raritan Valley Line
Garwood,Westfield ,Raritan Valley Line
Westfield ,Fanwood,Raritan Valley Line
Fanwood,Netherwood,Raritan Valley Line
Netherwood,Plainfield ,Raritan Valley Line
Plainfield ,Dunellen,Raritan Valley Line
Dunellen,Middlesex,Raritan Valley Line
Middlesex,Bound Brook,Raritan Valley Line
Bound Brook,Bridgewater,Raritan Valley Line
Bridgewater,Somerville ,Raritan Valley Line
Somerville ,Raritan,Raritan Valley Line
Raritan,North Branch,Raritan Valley Line
North Branch,White House,Raritan Valley Line
White House,Lebanon,Raritan Valley Line
Lebanon,Annandale,Raritan Valley Line
Annandale,High Bridge,Raritan Valley Line
30th Street Station ,Pennsauken ,Atlantic City Line
Pennsauken ,Cherry Hill ,Atlantic City Line
Cherry Hill ,Lindenwold ,Atlantic City Line
Lindenwold ,Atco ,Atlantic City Line
Atco ,Hammonton ,Atlantic City Line
Hammonton ,Egg Harbor City ,Atlantic City Line
Egg Harbor City ,Absecon ,Atlantic City Line
Absecon ,Atlantic City Rail Terminal ,Atlantic City Line
Hoboken Terminal ,Secaucus Junction ,Main Line
Secaucus Junction ,Kingsland,Main Line
Kingsland,Lyndhurst,Main Line
Lyndhurst,Delawanna,Main Line
Delawanna,Passaic,Main Line
Passaic,Clifton,Main Line
Clifton,Paterson ,Main Line
Paterson ,Hawthorne,Main Line
Hawthorne,Glen Rock–Main Line,Main Line
Glen Rock–Main Line,Ridgewood ,Main Line
Ridgewood ,Ho-Ho-Kus,Main Line
Ho-Ho-Kus,Waldwick,Main Line
Waldwick,Allendale,Main Line
Allendale,Ramsey ,Main Line
Ramsey ,Mahwah,Main Line
Mahwah,Suffern,Main Line
Hoboken Terminal ,Secaucus Junction ,Bergen County Line
Secaucus Junction ,Rutherford ,Bergen County Line
Rutherford ,Wesmont,Bergen County Line
Wesmont,Garfield,Bergen County Line
Garfield,Spring Tank,Bergen County Line
Spring Tank,Plauderville ,Bergen County Line
Plauderville ,Broadway,Bergen County Line
Broadway,Radburn,Bergen County Line
Radburn,Glen Rock–Boro Hall,Bergen County Line
Glen Rock–Boro Hall,Ridgewood ,Bergen County Line
Ridgewood ,Ho-Ho-Kus,Bergen County Line
Ho-Ho-Kus,Waldwick,Bergen County Line
Waldwick,Allendale,Bergen County Line
Allendale,Ramsey ,Bergen County Line
Ramsey ,Mahwah,Bergen County Line
Mahwah,Suffern,Bergen County Line
Hoboken Terminal ,Secaucus Junction ,Pascack Valley Line
Secaucus Junction ,Wood-Ridge,Pascack Valley Line
Wood-Ridge,Teterboro,Pascack Valley Line
Teterboro,Essex Street ,Pascack Valley Line
Essex Street ,Anderson Street,Pascack Valley Line
Anderson Street,Fairmount Avenue,Pascack Valley Line
Fairmount Avenue,New Bridge Landing,Pascack Valley Line
New Bridge Landing,River Edge,Pascack Valley Line
River Edge,New Milford,Pascack Valley Line
New Milford,Oradell,Pascack Valley Line
Oradell,Emerson,Pascack Valley Line
Emerson,Westwood ,Pascack Valley Line
Westwood ,Hillsdale,Pascack Valley Line
Hillsdale,Hillsdale Manor,Pascack Valley Line
Hillsdale Manor,Woodcliff Lake,Pascack Valley Line
Woodcliff Lake,Park Ridge,Pascack Valley Line
Park Ridge,Montvale ,Pascack Valley Line
Montvale ,Pearl River,Pascack Valley Line
Pearl River,Nanuet ,Pascack Valley Line
Nanuet ,Spring Valley,Pascack Valley Line
Hoboken Terminal ,Secaucus Junction ,Meadowlands Rail Line
Secaucus Junction ,Meadowlands Sports Complex ,Meadowlands Rail Line
Pennsylvania Station ,Secaucus Junction ,Montclair-Boonton Line
Secaucus Junction ,Hoboken Terminal ,Montclair-Boonton Line
Hoboken Terminal ,Newark Broad Street ,Montclair-Boonton Line
Newark Broad Street ,Watsessing Avenue,Montclair-Boonton Line
Watsessing Avenue,Bloomfield,Montclair-Boonton Line
Bloomfield,Glen Ridge,Montclair-Boonton Line
Glen Ridge,Bay Street ,Montclair-Boonton Line
Bay Street ,Walnut Street,Montclair-Boonton Line
Walnut Street,Watchung Avenue,Montclair-Boonton Line
Watchung Avenue,Upper Montclair,Montclair-Boonton Line
Upper Montclair,Mountain Avenue,Montclair-Boonton Line
Mountain Avenue,Montclair Heights ,Montclair-Boonton Line
Montclair Heights ,Monclair State Univ,Montclair-Boonton Line
Monclair State Univ,Little Falls,Montclair-Boonton Line
Little Falls,Singac,Montclair-Boonton Line
Singac,Wayne Route 23 Transit Center ,Montclair-Boonton Line
Wayne Route 23 Transit Center ,Mountain View–Wayne ,Montclair-Boonton Line
Mountain View–Wayne ,Lincoln Park,Montclair-Boonton Line
Lincoln Park,Towaco ,Montclair-Boonton Line
Towaco ,Montville,Montclair-Boonton Line
Montville,Boonton ,Montclair-Boonton Line
Boonton ,Mountain Lakes,Montclair-Boonton Line
Mountain Lakes,Denville ,Montclair-Boonton Line
Denville ,Dover ,Montclair-Boonton Line
Dover ,Lake Hopatcong,Montclair-Boonton Line
Lake Hopatcong,Netcong,Montclair-Boonton Line
Pennsylvania Station ,Secaucus Junction ,Morristown Line
Secaucus Junction ,Hoboken Terminal ,Morristown Line
Hoboken Terminal ,Newark Broad Street ,Morristown Line
Newark Broad Street ,East Orange ,Morristown Line
East Orange ,Brick Church,Morristown Line
Brick Church,Orange,Morristown Line
Orange,Highland Avenue,Morristown Line
Highland Avenue,Mountain Station,Morristown Line
Mountain Station,South Orange ,Morristown Line
South Orange ,Maplewood,Morristown Line
Maplewood,Wyoming,Morristown Line
Wyoming,Millburn,Morristown Line
Millburn,Short Hills,Morristown Line
Short Hills,Summit ,Morristown Line
Summit ,Chatham,Morristown Line
Chatham,Madison ,Morristown Line
Madison ,Convent Station,Morristown Line
Convent Station,Morristown ,Morristown Line
Morristown ,Morris Plains,Morristown Line
Morris Plains,Mount Tabor,Morristown Line
Mount Tabor,Denville ,Morristown Line
Denville ,Dover ,Morristown Line
Dover ,Lake Hopatcong,Morristown Line
Lake Hopatcong,Netcong,Morristown Line
Summit ,New Providence,Gladstone Branch
New Providence,Murray Hill,Gladstone Branch
Murray Hill,Berkeley Heights,Gladstone Branch
Berkeley Heights,Gillette,Gladstone Branch
Gillette,Stirling,Gladstone Branch
Stirling,Millington,Gladstone Branch
Millington,Lyons ,Gladstone Branch
Lyons ,Basking Ridge,Gladstone Branch
Basking Ridge,Bernardsville,Gladstone Branch
Bernardsville,Mine Brook,Gladstone Branch
Mine Brook,Far Hills,Gladstone Branch
Far Hills,Peapack,Gladstone Branch
Peapack,Gladstone ,Gladstone Branch
