CouncilDistrict,CrimeAgainst,ReportMonthYear,CrimeCount
1,Property,January 2015,992
NA,Property,January 2015,409
2,Property,January 2015,894
3,Property,January 2015,1060
1,Society,January 2015,95
4,Property,January 2015,909
1,Person,January 2015,10
2,Society,January 2015,48
4,Person,January 2015,5
2,Person,January 2015,8
2,Person,May 2015,173
3,Society,January 2015,49
NA,Society,January 2015,43
3,Person,January 2015,3
3,Property,February 2015,766
2,Property,February 2015,710
1,Property,February 2015,789
3,Person,February 2015,3
1,Society,February 2015,78
4,Property,February 2015,789
4,Person,February 2015,2
2,Society,February 2015,41
3,Society,February 2015,36
NA,Property,February 2015,406
2,Person,February 2015,7
1,Person,February 2015,9
2,Property,March 2015,802
4,Person,March 2015,25
3,Property,March 2015,936
3,Society,March 2015,46
3,Person,March 2015,29
1,Property,March 2015,859
1,Society,March 2015,115
4,Property,March 2015,786
NA,Property,March 2015,487
2,Person,March 2015,24
2,Society,March 2015,50
NA,Person,March 2015,10
1,Person,March 2015,29
3,Property,April 2015,870
1,Person,April 2015,191
4,Property,April 2015,792
3,Person,April 2015,121
2,Property,April 2015,869
1,Property,April 2015,842
4,Person,April 2015,113
2,Person,April 2015,130
3,Society,April 2015,61
NA,Person,April 2015,13
1,Society,April 2015,70
2,Society,April 2015,64
3,Person,May 2015,138
1,Property,May 2015,921
1,Person,May 2015,206
4,Society,May 2015,96
3,Property,May 2015,1004
3,Society,May 2015,51
4,Person,May 2015,162
2,Property,May 2015,855
NA,Person,May 2015,14
2,Society,May 2015,38
NA,Society,May 2015,2
NA,Property,May 2015,117
NA,Person,January 2015,2
4,Property,May 2015,1005
1,Society,May 2015,83
3,Person,June 2015,124
2,Person,June 2015,171
1,Person,June 2015,210
3,Property,June 2015,908
1,Property,June 2015,901
2,Property,June 2015,776
4,Person,June 2015,164
NA,Property,April 2015,221
1,Society,June 2015,87
NA,Person,June 2015,14
4,Property,June 2015,937
NA,Property,June 2015,94
3,Society,June 2015,32
2,Society,June 2015,42
4,Society,June 2015,65
3,Person,July 2015,124
2,Person,July 2015,150
1,Person,July 2015,215
4,Person,July 2015,116
1,Society,July 2015,89
3,Property,July 2015,922
NA,Property,July 2015,71
2,Property,July 2015,850
4,Property,July 2015,946
1,Property,July 2015,1058
3,Society,July 2015,44
3,Person,October 2015,130
2,Society,July 2015,41
4,Society,July 2015,85
NA,Person,July 2015,12
3,Person,August 2015,133
4,Person,August 2015,161
1,Person,August 2015,233
2,Person,August 2015,172
1,Property,August 2015,953
2,Society,August 2015,46
4,Property,August 2015,847
3,Property,August 2015,849
2,Property,August 2015,821
