state,county,DEM,GRN,LIB,REP,total_votes,electoral_college_votes
Alabama,Autauga County,7503,NA,350,19838,27770,9
Alabama,Baldwin County,24578,NA,1229,83544,109679,9
Alabama,Barbour County,4816,NA,68,5622,10518,9
Alabama,Bibb County,1986,NA,74,7525,9595,9
Alabama,Blount County,2640,NA,209,24711,27588,9
Alabama,Bullock County,3446,NA,19,1146,4613,9
Alabama,Butler County,3965,NA,59,5458,9488,9
Alabama,Calhoun County,15216,NA,553,35101,50983,9
Alabama,Chambers County,6365,NA,141,8753,15284,9
Alabama,Cherokee County,1624,NA,82,10583,12301,9
Alabama,Chilton County,3073,NA,123,16085,19310,9
Alabama,Choctaw County,3127,NA,38,4296,7464,9
Alabama,Clarke County,5755,NA,49,7324,13135,9
Alabama,Clay County,1267,NA,53,5601,6930,9
Alabama,Cleburne County,675,NA,60,6484,7227,9
Alabama,Coffee County,5076,NA,264,16899,22275,9
Alabama,Colbert County,8343,NA,272,19203,27886,9
Alabama,Conecuh County,2966,NA,32,3442,6441,9
Alabama,Coosa County,1796,NA,46,3631,5479,9
Alabama,Covington County,2721,NA,97,14586,17430,9
Alabama,Crenshaw County,1700,NA,44,4864,6617,9
Alabama,Cullman County,4478,NA,418,36880,41851,9
Alabama,Dale County,5170,NA,233,14303,19738,9
Alabama,Dallas County,12230,NA,90,5524,17864,9
Alabama,DeKalb County,4281,NA,250,24767,29356,9
Alabama,Elmore County,10367,NA,398,30164,41030,9
Alabama,Escambia County,4918,NA,94,10869,15910,9
Alabama,Etowah County,11567,NA,531,35528,47728,9
Alabama,Fayette County,1395,NA,56,7300,8766,9
Alabama,Franklin County,2086,NA,106,10376,12578,9
Alabama,Geneva County,1595,NA,90,10848,12545,9
Alabama,Greene County,3884,NA,8,875,4775,9
Alabama,Hale County,4687,NA,37,3190,7904,9
Alabama,Henry County,2606,NA,69,6607,9298,9
Alabama,Houston County,12917,NA,533,32618,46173,9
Alabama,Jackson County,3717,NA,208,19670,23636,9
Alabama,Jefferson County,181688,NA,3578,138843,325848,9
Alabama,Lamar County,978,NA,33,6174,7193,9
Alabama,Lauderdale County,11915,NA,537,31721,44339,9
Alabama,Lawrence County,3562,NA,126,12322,16031,9
Alabama,Lee County,27860,NA,1019,42221,71449,9
Alabama,Limestone County,13672,NA,748,34640,49235,9
Alabama,Lowndes County,4972,NA,26,1836,6835,9
Alabama,Macon County,7108,NA,52,1541,8723,9
Alabama,Madison County,87286,NA,3699,102780,194767,9
Alabama,Marengo County,5488,NA,59,5343,10900,9
