Week_Ending_Date,State/Territory,WVAL_Category,Sites_Last_Week,Coverage,Sites_Last_Month,Notes,date_updated
"March 14, 2026","Alabama","Very Low","6",,"19","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Alaska","Very Low","6",,"6","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Arizona","Very Low","10",,"18","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Arkansas","Low","6","Limited Coverage","6","Limited Coverage: The state/territory wastewater viral activity level for the most recent week is based on less than 5% of the population. This may not be representative of the entire state/territory.","2026-03-19T06:51:38.667393Z"
"March 14, 2026","California","Very Low","77",,"81","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Colorado","Very Low","23",,"23","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Connecticut","Low","14",,"14","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Delaware","Moderate","8",,"8","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","District of Columbia","Low","1",,"1","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Florida","Very Low","13",,"13","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Georgia","Very Low","8",,"20","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Guam","Very Low","2",,"3","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Hawaii","Very Low","9",,"9","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Idaho","Very Low","4",,"4","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Illinois","Very Low","64",,"75","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Indiana","Low","27",,"29","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Iowa","Moderate","7",,"13","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Kansas","Low","13",,"13","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Kentucky","Moderate","17",,"18","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Louisiana","Low","2",,"2","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Maine","Very Low","12",,"19","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Maryland","Moderate","9",,"10","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Massachusetts","Very Low","5",,"7","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Michigan","High","6","Limited Coverage","24","Limited Coverage: The state/territory wastewater viral activity level for the most recent week is based on less than 5% of the population. This may not be representative of the entire state/territory.","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Minnesota","Moderate","27",,"27","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Mississippi","High","2","Limited Coverage","2","Limited Coverage: The state/territory wastewater viral activity level for the most recent week is based on less than 5% of the population. This may not be representative of the entire state/territory.","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Missouri","Low","25",,"30","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Montana","Very Low","7",,"7","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Nebraska","Low","16",,"16","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Nevada","Very Low","7",,"7","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","New Hampshire","Low","3","Limited Coverage","3","Limited Coverage: The state/territory wastewater viral activity level for the most recent week is based on less than 5% of the population. This may not be representative of the entire state/territory.","2026-03-19T06:51:38.667393Z"
"March 14, 2026","New Jersey","Low","25",,"25","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","New Mexico","Very Low","7",,"7","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","New York","Very Low","114",,"134","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","North Carolina","Low","30",,"35","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","North Dakota","Limited/No Data","0",,"0","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Ohio","Very Low","56",,"57","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Oklahoma","Moderate","10",,"13","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Oregon","Very Low","22",,"30","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Pennsylvania","Low","28",,"33","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Rhode Island","Very Low","11",,"11","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","South Carolina","Very Low","26",,"27","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","South Dakota","Low","3",,"3","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Tennessee","Very Low","2",,"2","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Texas","Low","44",,"67","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Utah","Very Low","32",,"33","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Vermont","Very Low","6",,"6","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Virginia","Low","32",,"33","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Washington","Very Low","1","Limited Coverage","27","Limited Coverage: The state/territory wastewater viral activity level for the most recent week is based on less than 5% of the population. This may not be representative of the entire state/territory.","2026-03-19T06:51:38.667393Z"
"March 14, 2026","West Virginia","Moderate","1",,"8","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Wisconsin","Very Low","40",,"42","","2026-03-19T06:51:38.667393Z"
"March 14, 2026","Wyoming","Very Low","5",,"7","","2026-03-19T06:51:38.667393Z"
