jurisdiction,variant,percent,collection_week
"ri","Other","4.6","2025-12-20"
"ri","XFG","32.79","2025-12-20"
"ri","XDV.1","7.4","2025-12-20"
"ri","NB.1.8.1","5.67","2025-12-20"
"ri","BA.3.2","49.54","2025-12-20"
"wa","XFG","60.86","2025-12-20"
"wa","XDV.1","14.44","2025-12-20"
"wa","Other","8.08","2025-12-20"
"wa","NB.1.8.1","16.61","2025-12-20"
"wi","XFG.14.1","12.22","2025-12-20"
"wi","XFG.1","29.17","2025-12-20"
"wi","XFG","48.42","2025-12-20"
"wi","Other","4.32","2025-12-20"
"wi","BA.2.86","5.86","2025-12-20"
"ak","XFG.1","75.02","2025-12-27"
"ak","XFG.14.1","16.31","2025-12-27"
"ak","XFG","8.68","2025-12-27"
"al","Other","2.96","2025-12-27"
"al","XFG","97.04","2025-12-27"
"ar","XFG.1","13.33","2025-12-27"
"ar","XFG","67.66","2025-12-27"
"ar","Other","1.44","2025-12-27"
"ar","XFG.14.1","17.57","2025-12-27"
"ca","XFG.1","8.02","2025-12-27"
"ca","XFG","53.01","2025-12-27"
"ca","Other","14.1","2025-12-27"
"ca","XFG.14.1","11.66","2025-12-27"
"ca","XFZ","7.28","2025-12-27"
"ca","LF.7","5.91","2025-12-27"
"co","XFG","45.0","2025-12-27"
"co","XDV.1","7.25","2025-12-27"
"co","NB.1.8.1","47.75","2025-12-27"
"ct","XFG","65.97","2025-12-27"
"ct","XDV.1","7.82","2025-12-27"
"ct","NB.1.8.1","7.62","2025-12-27"
"ct","XFG.14.1","7.22","2025-12-27"
"ct","Other","11.37","2025-12-27"
"fl","XFG","74.22","2025-12-27"
"fl","XFG.6","5.55","2025-12-27"
"fl","XFG.14.1","6.69","2025-12-27"
"fl","XFG.1","13.54","2025-12-27"
"hi","XFG","87.33","2025-12-27"
"hi","JN.1.16","12.67","2025-12-27"
"ia","XFG.6","17.3","2025-12-27"
"ia","XFG.1","47.89","2025-12-27"
