weight,word,color,url
7422,project,,
7149,stem,,
7055,research,,
5050,students,,
3859,support,,
2928,education,,
2880,program,,
2846,science,,
2778,using,,
2625,learning,,
2549,faculty,,
2512,impacts,,
2507,data,,
2419,evaluation,,
2374,broader,,
2359,award,,
2357,engineering,,
2208,development,,
2174,community,,
2102,nsf's,,
2086,review,,
2058,intellectual,,
2052,mission,,
2014,merit,,
2004,criteria,,
1996,reflects,,
1989,foundation's,,
1979,deemed,,
1977,worthy,,
1976,statutory,,
1906,can,,
1893,equity,,
1802,based,,
1732,new,,
1723,knowledge,,
1551,social,,
1509,university,,
1479,study,,
1441,institutions,,
1415,also,,
1414,develop,,
1411,practices,,
1393,participation,,
1385,work,,
1361,experiences,,
1342,provide,,
1248,change,,
1241,2,,
1229,design,,
1228,diverse,,
1226,across,,
1223,communities,,
1211,advance,,
1204,understanding,,
1202,groups,#ff0000,
1200,student,,
1172,model,,
1162,undergraduate,,
1158,professional,,
1152,graduate,,
1148,impact,,
1144,underrepresented,#ff0000,
1143,academic,,
1138,1,,
1094,career,,
1083,programs,,
1065,mathematics,,
1059,black,,
1040,well,,
1032,aims,,
1025,activities,,
1025,technology,,
1016,high,,
1008,researchers,,
1005,racial,#ff0000,
993,use,,
974,training,,
966,models,,
954,workforce,,
948,women,#ff0000,
940,team,,
917,teachers,,
915,including,,
912,3,,
895,methods,,
887,diversity,,
878,climate,,
877,projects,,
868,address,,
868,alliance,,
867,systems,,
867,within,,
864,increase,#ff0000,
854,opportunities,,
833,include,,
833,outcomes,,
822,school,,
815,inclusive,#ff0000,
812,institutional,#ff0000,
810,two,,
