Week,Date,Topic,Data Science,Data Visualization,Machine Learning,Statistics,data set,,
1,27-Jan,Introduction,variables,ggplot,training,observations,canceled grants,,
1,29-Jan,Centrality,grouping,dotplot,sample mean,"mean, median",Olympic athlete ages,,
2,3-Feb,Variance,lists,histogram,optimize,"SSE, sd",stock market,,
2,5-Feb,Categories,factors,boxplot,filter,"TP, FP, FN, TN",course demographics,,
3,10-Feb,GeoSpatial,vectors,choropleth,joins,"z-score, percentiles",New Jersey public health,,
3,12-Feb,Correlation and Paradoxes,corplot,scatterplot,missing values,r,,,
4,17-Feb,Linear Regression,lm,geom_smooth,summary(),parameters,,,
4,19-Feb,Linear Regression,,,,R^2,,,
5,24-Feb,Logistic Regression,,,,,,project 1,due Feb 24
5,26-Feb,Discrete Distributions,,,,,,,
6,3-Mar,Reporting,,,,,,,
6,5-Mar,EXAM,,,,,,,
7,17-Mar,Continuous Distributions,,,,,,,
7,19-Mar,Estimators,,,,CLT,,,
8,24-Mar,Confidence Intervals,,,,,,,
8,26-Mar,Hypothesis Testing,,,,,,,
9,31-Mar,Hypothesis Testing,,,,,,,
9,2-Apr,ANOVA,,,,,,,
10,7-Apr,Model Selection,,,,,,project 2,due Apr 7
10,9-Apr,Supervised Learning,,,,,,,
11,14-Apr,TidyModels,,,,,,,
11,16-Apr,Unsupervised Learning,,,,,,,
12,21-Apr,eLLMer,,,,,,,
12,23-Apr,EXAM,,,,,,,
,,,,,,,,project 3,due May 11
