major,minor1,minor2
Anthropology,Gender and Sexuality Studies,Latino Studies
Anthropology,Global Health and Health Policy,Japanese Language
Anthropology,Japanese Language,
Astrophysical Sciences,,
Chemical and Biological Engineering,Slavic Languages and Cultures,
Chemistry,Global Health and Health Policy,
Chemistry,Journalism,
Chemistry,,
Civil and Environmental Engineering,Engineering Biology,
Classics,"History of Science, Technology, and Medicine",
Classics,Philosophy,Finance
Computer Science,Chinese Language,Chinese Language
Computer Science,Finance,
Computer Science,Finance,
Computer Science,Finance,
Computer Science,Finance,
Computer Science,Finance,Statistics and Machine Learning
Computer Science,Global Health and Health Policy,
Computer Science,History,Entrepreneurship
Computer Science,Linguistics,Finance
Computer Science,Philosophy,
Computer Science,Robotics and Intelligent Systems,
Computer Science,Statistics and Machine Learning,
Computer Science,Statistics and Machine Learning,Cognitive Science
Computer Science,Statistics and Machine Learning,Engineering Biology
Computer Science,Statistics and Machine Learning,Finance
Computer Science,Statistics and Machine Learning,Finance
Computer Science,Statistics and Machine Learning,Optimization and Quantitative Decision Science
Computer Science,Statistics and Machine Learning,Quantitative Economics
Computer Science,Statistics and Machine Learning,Quantitative Economics
Computer Science,Statistics and Machine Learning,Spanish Language
Computer Science,Statistics and Machine Learning,
Computer Science,Statistics and Machine Learning,
Computer Science,Statistics and Machine Learning,
Computer Science,Statistics and Machine Learning,
Computer Science,Statistics and Machine Learning,
Computer Science,Statistics and Machine Learning,
Computer Science,Statistics and Machine Learning,
Computer Science,Statistics and Machine Learning,
Computer Science,Statistics and Machine Learning,
Computer Science,Statistics and Machine Learning,
Computer Science,Statistics and Machine Learning,
Computer Science,Values and Public Life,
Computer Science,,
Computer Science,,
Computer Science,,
Ecology and Evolutionary Biology,Environmental Studies,
Ecology and Evolutionary Biology,Korean Language,
Ecology and Evolutionary Biology,Planets and Life,
Economics,"Chinese Language, potentially Finance as well",
Economics,Computer Science,Statistics and Machine Learning
Economics,Computer Science,
Economics,Finance,Statistics and Machine Learning
Economics,Statistics and Machine Learning,Global Health and Health Policy
Economics,Statistics and Machine Learning,
Electrical and Computer Engineering,Statistics and Machine Learning,Computer Science
Electrical and Computer Engineering,,
History,Finance,Translation and Intercultural Communication
History,South Asian Studies,Finance
Mathematics,Visual Arts,Computer Science
Mechanical and Aerospace Engineering,Finance,Statistics and Machine Learning
Molecular Biology,Bioengineering,
Molecular Biology,Classics,
Molecular Biology,Cognitive Science,
Molecular Biology,Computer Science,Applied and Computational Mathematics
Molecular Biology,Computer Science,Quantitative and Computational Biology
Molecular Biology,Computer Science,Engineering Biology
Molecular Biology,East Asian Studies,Gender and Sexuality Studies
Molecular Biology,Engineering Biology,
Molecular Biology,Global Health and Health Policy,Neuroscience
Molecular Biology,Global Health and Health Policy,Neuroscience
Molecular Biology,Global Health and Health Policy,Quantitative and Computational Biology
Molecular Biology,Global Health and Health Policy,Translation and Intercultural Communication
Molecular Biology,Global Health and Health Policy,
Molecular Biology,Global Health and Health Policy,
Molecular Biology,Global Health and Health Policy,
Molecular Biology,Global Health and Health Policy,Creative Writing
Molecular Biology,Global Health and Health Policy,Latin American Studies
Molecular Biology,Global Health Policy,
Molecular Biology,History,Global Health and Health Policy
Molecular Biology,Medieval Studies,
Molecular Biology,Music Performance,
Molecular Biology,Neuroscience,Global Health and Health Policy
Molecular Biology,Philosophy,
Molecular Biology,Visual Arts,
Molecular Biology,,
Molecular Biology,,
Molecular Biology,,
Molecular Biology,,
Molecular Biology,,
Molecular Biology,,
Molecular Biology,,
Neuroscience,African American Studies,
Neuroscience,Classics,
Neuroscience,Cognitive Science,Quantitative and Computational Biology
Neuroscience,Cognitive Science,
Neuroscience,Dance,Theater and Music Theater
Neuroscience,East Asian Studies,
Neuroscience,Finance,History
Neuroscience,Global Health and Healthy Policy,Cognitive Science
Neuroscience,Language and Culture,Statistics and Machine Learning
Neuroscience,Latin American Studies,Global Health and Health Policy
Neuroscience,South Asian Studies,Music
Neuroscience,,
Neuroscience,,
Neuroscience,,
Neuroscience,,
Operations Research and Financial Engineering,Entrepreneurship,Statistics and Machine Learning
Operations Research and Financial Engineering,Finance,Statistics and Machine Learning
Operations Research and Financial Engineering,Statistics and Machine Learning,
Philosophy,,
Physics,Statistics and Machine Learning,
Politics,Neuroscience,
Politics,,
Politics,Statistics and Machine Learning,Chinese Language
Princeton School of Public and International Affairs,English,Japanese Language
Princeton School of Public and International Affairs,Journalism,Spanish and Portuguese
Princeton School of Public and International Affairs,Neuroscience,Statistics and Machine Learning
Princeton School of Public and International Affairs,Spanish Language,
Princeton School of Public and International Affairs,Statistics and Machine Learning,
Princeton School of Public and International Affairs,Urban Studies,East Asian Studies
Psychology,Cognitive science,African American studies
Psychology,Cognitive Science,
Psychology,French Minor,Values and Public Life
Psychology,Neuroscience,Statistics and Machine Learning
Psychology,Neuroscience,
Psychology,Neuroscience.,
Psychology,Statistics & Machine Learning,Journalism
Religion,Journalism,Humanistic Studies
Sociology,Computer Science,
Sociology,Creative Writing,Urban Studies
Sociology,Gender and Sexuality Studies,Asian American Studies
