date,n
2017-01-01,191
2017-01-02,227
2017-01-03,3225
2017-01-04,4014
2017-01-05,4245
2017-01-06,3586
2017-01-07,1505
2017-01-08,642
2017-01-09,3133
2017-01-10,3913
2017-01-11,4147
2017-01-12,4314
2017-01-13,3948
2017-01-14,2772
2017-01-15,831
2017-01-16,4077
2017-01-17,4391
2017-01-18,4575
2017-01-19,4674
2017-01-20,3743
2017-01-21,3417
2017-01-22,872
2017-01-23,2212
2017-01-24,4332
2017-01-25,4085
2017-01-26,3958
2017-01-27,4176
2017-01-28,3216
2017-01-29,944
2017-01-30,3722
2017-01-31,3716
2017-02-01,4094
2017-02-02,4466
2017-02-03,4132
2017-02-04,2959
2017-02-05,953
2017-02-06,3401
2017-02-07,3748
2017-02-08,3848
2017-02-09,2023
2017-02-10,3753
2017-02-11,2993
2017-02-12,836
2017-02-13,3716
2017-02-14,4254
2017-02-15,4168
2017-02-16,4660
2017-02-17,4260
2017-02-18,3267
2017-02-19,1058
2017-02-20,3595
2017-02-21,4465
2017-02-22,4355
2017-02-23,4631
2017-02-24,4335
2017-02-25,2842
2017-02-26,974
2017-02-27,3816
2017-02-28,4442
2017-03-01,4021
2017-03-02,4539
2017-03-03,4434
2017-03-04,3175
2017-03-05,1078
2017-03-06,3959
2017-03-07,4386
2017-03-08,4512
2017-03-09,4595
2017-03-10,4128
2017-03-11,3214
2017-03-12,956
2017-03-13,3514
2017-03-14,1351
2017-03-15,2615
2017-03-16,4064
2017-03-17,4189
2017-03-18,3185
2017-03-19,1048
2017-03-20,3816
2017-03-21,4149
2017-03-22,4546
2017-03-23,5043
2017-03-24,4753
2017-03-25,3191
2017-03-26,1078
2017-03-27,3693
2017-03-28,4253
2017-03-29,4190
2017-03-30,4810
2017-03-31,3602
2017-04-01,3465
2017-04-02,1080
2017-04-03,3807
2017-04-04,3921
2017-04-05,4445
2017-04-06,4132
2017-04-07,4561
2017-04-08,3355
2017-04-09,1074
2017-04-10,3747
2017-04-11,4210
2017-04-12,3983
2017-04-13,4437
2017-04-14,3472
2017-04-15,2944
2017-04-16,234
2017-04-17,3810
2017-04-18,4554
2017-04-19,4365
2017-04-20,4563
2017-04-21,4681
2017-04-22,3672
2017-04-23,1142
2017-04-24,4040
2017-04-25,4436
2017-04-26,4606
2017-04-27,4648
2017-04-28,4516
2017-04-29,2935
2017-04-30,1011
2017-05-01,3640
2017-05-02,4401
2017-05-03,4550
2017-05-04,4806
2017-05-05,4244
2017-05-06,3268
2017-05-07,1201
2017-05-08,4020
2017-05-09,4269
2017-05-10,4513
2017-05-11,4838
2017-05-12,4643
2017-05-13,2819
2017-05-14,1006
2017-05-15,3803
2017-05-16,3646
2017-05-17,4126
2017-05-18,4544
2017-05-19,4210
2017-05-20,3161
2017-05-21,1086
2017-05-22,3924
2017-05-23,4418
2017-05-24,4254
2017-05-25,4400
2017-05-26,4175
2017-05-27,2518
2017-05-28,887
2017-05-29,303
2017-05-30,3832
2017-05-31,4162
2017-06-01,4210
2017-06-02,4383
2017-06-03,3583
2017-06-04,968
2017-06-05,3689
2017-06-06,4207
2017-06-07,4235
2017-06-08,4478
2017-06-09,4174
2017-06-10,3061
2017-06-11,1053
2017-06-12,3078
2017-06-13,3642
2017-06-14,4043
2017-06-15,4201
2017-06-16,4691
2017-06-17,2843
2017-06-18,859
2017-06-19,2996
2017-06-20,4277
2017-06-21,4241
2017-06-22,4658
2017-06-23,4287
2017-06-24,2961
2017-06-25,923
2017-06-26,3369
2017-06-27,4271
2017-06-28,4320
2017-06-29,4454
2017-06-30,4133
2017-07-01,2177
2017-07-02,850
2017-07-03,2108
2017-07-04,212
2017-07-05,3282
2017-07-06,3948
2017-07-07,3774
2017-07-08,2477
2017-07-09,1028
2017-07-10,3469
2017-07-11,3966
2017-07-12,4358
2017-07-13,3689
2017-07-14,4150
2017-07-15,2449
2017-07-16,896
2017-07-17,3614
2017-07-18,4298
2017-07-19,4570
2017-07-20,4372
2017-07-21,4005
2017-07-22,2520
2017-07-23,816
2017-07-24,3556
2017-07-25,4312
2017-07-26,4436
2017-07-27,4583
2017-07-28,4109
2017-07-29,2799
2017-07-30,997
2017-07-31,3654
2017-08-01,4263
2017-08-02,4573
2017-08-03,4797
2017-08-04,4380
2017-08-05,2841
2017-08-06,1062
2017-08-07,3529
2017-08-08,4557
2017-08-09,4530
2017-08-10,4597
2017-08-11,4344
2017-08-12,2605
2017-08-13,913
2017-08-14,3577
2017-08-15,4324
2017-08-16,4826
2017-08-17,4774
2017-08-18,4558
2017-08-19,3093
2017-08-20,1009
2017-08-21,3507
2017-08-22,4135
2017-08-23,4327
2017-08-24,4800
2017-08-25,4330
2017-08-26,2796
2017-08-27,1047
2017-08-28,3822
2017-08-29,4389
2017-08-30,4612
2017-08-31,4612
2017-09-01,4326
2017-09-02,3170
2017-09-03,995
2017-09-04,339
2017-09-05,3979
2017-09-06,4694
2017-09-07,4694
2017-09-08,4774
2017-09-09,3458
2017-09-10,1014
2017-09-11,3832
2017-09-12,4109
2017-09-13,4389
2017-09-14,4625
2017-09-15,4502
2017-09-16,3500
2017-09-17,1222
2017-09-18,4165
2017-09-19,4528
2017-09-20,4385
2017-09-21,4836
2017-09-22,4660
2017-09-23,3361
2017-09-24,1021
2017-09-25,3582
2017-09-26,4126
2017-09-27,4391
2017-09-28,4785
2017-09-29,4662
