timestamp,currentCourse,statsBefore,classStanding,numCourses,major,residentialCollege,GPA,gender,hoursStudying,birthMonth,age,height,shoeSize,weight,calories,hoursExercise,sleepTime,sleepDuration,socialMedia,smartPhones,baseball,football,basketball,hockey,politics,religous,Kinsey,happyCampus,happyCity,anxiousCourse,highSchool,prepared,drugUse,firstGeneration,languages,safety,makingFriends,campusTeam,officeHours,studyGroups,retirement,happiness,intelligence,attractiveness,favColor,favNumber,showers,brushing,flossing,washHair,finAidInfluence,futureCareer,numSiblings,favMovie,loneliness,tidyness,highSchoolGPA,SAT,activeCampus,numFriends,studyMusic,familyInfluence,campusLiving,jobBool,campusGroups,attendance,pancakesWaffles,coffeeTea,dogsCats,oceanSnow,pineapplePizza,campusAcceptance,hoursSocialMedia,continents,superhero,supervillain,season,handedness,safety2,laundry,favClass,favProfessor,anxiousSurvey
2024-09-04 01:08:33 UTC,SML 201,No,Junior,18,Computer Science,Mathey,3.5,Male,30,December,20,69,9,170,2000,10,2 AM,6,"Instagram,LinkedIn",iPhone,NA,NA,NA,NA,40,20,0,60,30,100,public school,0,Yes,NA,2,70,30,No,40,40,No,70,40,40,blue,12,7,14,5,7,70,60,2,rush hour,50,60,4,1500,20,10,Yes,0,No,No,No,40,Waffles,tea,Cats,ocean,Yes!,60,20,2,ultraman,joker,Fall,right-handed,60,5,pol396,sam ginzburg,70
2024-09-03 21:50:52 UTC,SML 201,No,Junior,18,Computer Science,New College West,3.72,Female,5,April,20,66,7.5,130,NA,5,11 PM,7,"Instagram,LinkedIn",iPhone,NA,NA,NA,NA,20,5,1,75,80,20,public school,30,Yes,No,0,80,90,No,90,50,No,75,80,90,green,12,7,14,4,7,80,70,1,Good Will Hunting ,20,70,4,1560,20,50,Yes,40,Yes,No,No,100,Waffles,coffee,Dogs,ocean,Yes!,90,3,4,NA,NA,Spring,right-handed,90,2,REL 324,Professor Abtahi ,100
2024-09-06 19:36:54 UTC,SML 201,No,Senior,26,other,Butler,3.904,Male,16,March,21,71,10.5,155,2000,6,12 midnight,7,"Instagram,Twitter (X)",iPhone,New York Mets,New York Giants,Brooklyn Nets,New York Islanders,0,40,6,90,90,60,public school,80,Yes,No,1.7,100,100,No,100,20,Yes,85,92,65,Blue,19,12,13,10,9,0,50,2,Tár,30,55,96,1540,90,40,No,25,Yes,Yes,Yes,98,Waffles,coffee,Cats,ocean,tolerable,90,3,3,Black Widow,Joker,Fall,left-handed,100,4,HUM 218,Leora Batnitzky,100
2024-09-03 16:44:10 UTC,SML 201,No,Sophomore,8,Princeton School of Public and International Affairs,Yeh College,3.7,Male,15,September,19,78,48,212,3600,14,11 PM,10,"Instagram,LinkedIn,Pinterest,Twitter (X)",iPhone,Arizona Diamondbacks,Arizona Cardinals,Atlanta Hawks,Anaheim Ducks,0,35,6,55,75,11.6,private school,100,No,No,3,100,100,No,30,50,Yes,60,0,0,green,4,10,14,0,3,0,70,2,I don't watch movies,0,100,0,1570,10,20,Yes,100,No,No,Yes,100,Pancakes,coffee,Dogs,ocean,Yes!,70,7,6,N/A,N/A,Summer,right-handed,100,6,JPN105,しばた先生,100
2024-09-03 19:45:52 UTC,SML 201,Yes: AP Statistics,Sophomore,9,Computer Science,Mathey,3.6,Female,30,June,19,61,5.5,103,2000,7,12 midnight,7,"Instagram,LinkedIn",iPhone,NA,NA,NA,NA,25,50,0,80,90,0,public school,20,No,Yes,1.5,100,100,No,85,85,No,65,75,75,Blue,12,7,14,7,3,50,60,1,Inside Out (2015),20,70,4,1510,50,15,Yes,15,Yes,No,Yes,99,Waffles,coffee,Dogs,snow,tolerable,90,1,1,Spider Man,Joker,Fall,right-handed,100,4,WRI 161,Professor Helen Gu,90
2024-09-04 00:40:20 UTC,SML 201,Yes: AP Statistics,Sophomore,9,Molecular Biology,Rockefeller,NA,Female,28,June,19,65,8.5,NA,NA,10,1 AM,6,Instagram,iPhone,NA,"Buffalo Bills,San Francisco 49ers,St. Louis Rams",NA,NA,NA,NA,0,84,NA,46,public school,82,No,No,1.7,89,88,No,50,NA,Yes,87,83,NA,Yellow,NA,7,14,7,4,5,70,0,NA,10,93,4,1410,65,7,Yes,9,Yes,Yes,Yes,90,Waffles,coffee,Dogs,snow,tolerable,90,3,3,NA,NA,Fall,right-handed,NA,5,"GLS303, FRS175",Mitchel Duneier,88
2024-09-06 04:04:58 UTC,SML 201,No,Sophomore,8,Economics,Butler,3.787,Female,26,April,19,62,6,101,2000,2,12 midnight,8,Instagram,iPhone,New York Mets,"New York Giants,New York Jets",New York Knicks,"New York Islanders,New York Rangers",30,20,0,70,80,50,public school,40,No,Yes,2.3,90,60,No,80,50,Yes,70,60,60,blue,46,7,14,7,4,30,40,2,Encanto ,50,70,4,1520,60,12,No,40,Yes,Yes,Yes,90,Waffles,tea,Dogs,snow,tolerable,70,2,2,Spiderman,Harley Quinn,Spring,right-handed,90,5,LCA 101,Professor Noonan,70
2024-09-03 01:14:19 UTC,SML 201,Yes: AP Statistics,Junior,20,Neuroscience,Forbes,NA,Female,15,January,21,65,8,NA,NA,NA,1 AM,6,Pinterest,iPhone,Houston Astros,Houston Texas,Los Angeles Lakers,Calgary Flames,NA,NA,NA,NA,NA,20,public school,15,No,No,1.3,45,40,No,30,45,No,NA,NA,NA,lilac,8,7,7,7,4,70,30,1,la la land,NA,80,4,1570,30,30,Yes,56,No,No,Yes,85,Waffles,coffee,Dogs,snow,No!,15,3,3,America Chavez,Harley Quinn,Winter,right-handed,20,3,Freshman Seminar,NA,30
2024-09-04 04:09:27 UTC,SML 201,Yes: AP Statistics,Sophomore,9,Computer Science,Yeh College,2.96,Female,20,October,18,61,7,117,2000,12,1 AM,7,"Instagram,Pinterest",iPhone,"Boston Red Sox,Philadelphia Phillies",Philadelphia Eagles,Philadelphia 76ers,Philadelphia Flyers,3,74,0,84,94,34,public school,65,No,No,1.5,84,90,No,48,84,No,74,68,84,green,4,5,14,7,3,24,24,1,La La Land,46,68,4,1530,78,10,Yes,64,Yes,No,Yes,94,Pancakes,coffee,Dogs,ocean,Yes!,78,2,4,Spiderman,Loki,Fall,right-handed,88,4,COS126,Professor Kohler,90
2024-09-03 19:24:03 UTC,SML 201,No,Junior,17,Molecular Biology,Rockefeller,3.437,Male,40,December,20,73,10.5,185,2500,12,12 midnight,7,Instagram,iPhone,Boston Red Sox,Green Bay Packers,Los Angeles Lakers,Minnesota Wild,20,0,1,45,55,60,public school,15,No,No,3,95,35,No,25,80,Yes,55,75,80,black,12,7,14,4,7,0,40,2,Taxi Driver,78,30,4,1580,20,15,Yes,50,No,No,Yes,95,Pancakes,coffee,Dogs,ocean,No!,30,4,2,Batman,Joker,Fall,left-handed,100,4,RUS 108,Svetlana Korshunova,10
2024-09-04 19:22:05 UTC,SML 201,No,Sophomore,9,other,Rockefeller,3.4,Female,20,October,18,65,9,160,2000,20,10 PM,8,Instagram,iPhone,San Diego Padres,San Diego Chargers,Golden State Warriors,Edmonton Oilers,10,50,0,80,90,10,private school,80,No,No,1.5,95,85,Yes: athletic scholarship,30,40,Yes,95,85,75,Blue,13,10,14,7,3,0,80,1,Top Gun: Maverick,10,90,3.8,1560,30,40,Yes,50,Yes,No,No,80,Pancakes,coffee,Dogs,ocean,No!,80,1,5,Spiderman,NA,Summer,right-handed,95,4,COS 126,Professor Kelts,100
2024-09-03 20:33:53 UTC,SML 201,Yes: a statistics course at another college,Junior,15,Princeton School of Public and International Affairs,Forbes,3.5,Male,20,November,NA,73,10,200,3000,4,10 PM,8,NA,iPhone,NA,NA,NA,NA,50,50,0,70,80,90,public school,40,Yes,No,2,100,50,No,90,10,Yes,80,80,80,Brown,5,7,14,0,2,100,50,6,Lord of the Rings,50,20,3.7,1500,10,2,No,10,Yes,Yes,Yes,100,Pancakes,(neither),Dogs,snow,tolerable,20,0,4,Batman,Bane,Spring,right-handed,100,2,SPI200,Steven Keltz,90
2024-09-11 03:01:27 UTC,SML 201,Yes: AP Statistics,Junior,16,Computer Science,Yeh College,3.5,Male,8,October,20,71,9.5,150,NA,3,2 AM,8,"Instagram,LinkedIn,Pinterest",iPhone,NA,Tennessee Titans,NA,NA,50,40,6,75,70,50,public school,40,No,No,2,90,50,No,80,50,No,50,50,50,Blue,1,7,14,0,7,50,40,2,La La Land,NA,50,4,NA,40,NA,Yes,30,Yes,Yes,Yes,80,Waffles,tea,Dogs,ocean,tolerable,NA,4,3,Iron Man ,NA,Spring,right-handed,90,5,PSY 254,Dr. Lew-Williams,90
2024-09-04 00:44:16 UTC,SML 201,Yes: a statistics course at another college,Junior,17,Molecular Biology,Yeh College,3.9,Female,40,June,20,72,10,160,2000,6,11 PM,7,"Instagram,LinkedIn",iPhone,New York Yankees,New England Patriots,New York Knicks,New York Rangers,30,5,1,65,90,20,private school,60,No,No,2,70,90,Yes: sports club,90,80,Yes,60,80,70,Blue,15,6,14,1,5,0,50,1,Pride and Prejudice,30,90,4,1540,70,20,Yes,70,Yes,Yes,Yes,95,Waffles,coffee,Dogs,ocean,No!,90,1,6,Wonder woman,Megamind,Fall,right-handed,70,5,PSY254,Casey Lew Williams,95
2024-09-02 23:20:49 UTC,SML 201,Yes: a statistics course at another college,Junior,20,Psychology,Yeh College,3.54,Male,40,December,19,68,9,166,2000,6,11 PM,7,"Instagram,LinkedIn,Twitter (X)",iPhone,"New York Mets,New York Yankees",Washington Redskins,Golden State Warriors,New York Rangers,NA,50,0,40,33,70,private school,75,Yes,Yes,1.5,80,50,No,80,20,Yes,40,85,75,Purple,7,14,14,7,3,100,90,2,Scarface,40,95,3.87,1510,65,28,Yes,25,Yes,Yes,Yes,80,Waffles,tea,Dogs,ocean,tolerable,50,2,2,Spider-Man,The Joker,Winter,right-handed,80,4,NEU 331,Yair Mintzker,80
