major,minor1,minor2
Anthropology,Japanese Language,NA
Economics,Statistics and Machine Learning,NA
Politics,NA,NA
Operations Research and Financial Engineering,Computer Science,NA
Chemistry,Journalism,NA
Anthropology,Gender and Sexuality Studies,Latino Studies
Sociology,Gender and Sexuality Studies,Asian American Studies
Neuroscience,South Asian Studies,Cognitive Science
Neuroscience,NA,NA
Computer Science,Statistics and Machine Learning,NA
Neuroscience,Latin American Studies,Global Health and Health Politics
Neuroscience,Dance,Theater and Music Theater
Astrophysical Sciences,NA,NA
Computer Science,Finance,Statistics and Machine Learning
Chemistry,NA,NA
Molecular Biology,Visual Arts,NA
Computer Science,NA,NA
Neuroscience,NA,NA
Religion,Humanistic Studies,Journalism
Molecular Biology,NA,NA
Computer Science,Statistics and Machine Learning,NA
Computer Science,NA,NA
Computer Science,Statistics and Machine Learning,NA
Neuroscience,NA,NA
Ecology and Evolutionary Biology,Planets and Life,NA
Computer Science,Values and Public Life,Statistics and Machine Learning
Computer Science,NA,NA
Molecular Biology,Global Health and Health Policy,Creative Writing
Economics,Chinese Language,NA
Psychology,Neuroscience,Statistics and Machine Learning
Politics,Neuroscience,NA
History,South Asian Studies,Entrepreneurship
Computer Science,Statistics and Machine Learning,Optimization and Quantitative Decision Science
Economics,Statistics and Machine Learning,Computer Science
Molecular Biology,NA,NA
Chemical and Biological Engineering,Slavic Languages and Cultures,NA
Molecular Biology,Cognitive Science,NA
Politics,Chinese Language,Statistics and Machine Learning
Molecular Biology,Music Performance,NA
Computer Science,NA,NA
Molecular Biology,Computer Science,Quantitative and Computational Biology
Molecular Biology,NA,NA
Computer Science,NA,NA
Molecular Biology,Computer Science,Mathematics
Molecular Biology,NA,NA
Neuroscience,NA,NA
Operations Research and Financial Engineering,Statistics and Machine Learning,Entrepreneurship
Computer Science,SML,NA
Neuroscience,Cognitive Science,Quantitative and Computational Biology
Neuroscience,Global Health and Health Policy,Cognitive Science
Operations Research and Financial Engineering,Finance,Statistics and Machine Learning
Economics,Statistics and Machine Learning,Global Health and Health Policy
Computer Science,Statistics and Machine Learning,NA
Molecular Biology,Medieval Studies,NA
Computer Science,Finance,NA
Computer Science,Statistics and Machine Learning,NA
Molecular Biology,Classics,NA
Neuroscience,Cognitive Science,NA
Computer Science,Statistics and Machine Learning,NA
Chemistry,Global Health and Health Policy,NA
Civil and Environmental Engineering,Engineering Biology,NA
Neuroscience,African American Studies,NA
Neuroscience,NA,NA
Princeton School of Public and International Affairs,Statistics and Machine Learning,Neuroscience
Computer Science,Statistics and Machine Learning,Cognitive Science
Molecular Biology,Bioengineering,NA
Psychology,Neuroscience,NA
Princeton School of Public and International Affairs,Journalism,NA
Computer Science,Statistics and Machine Learning,NA
Computer Science,NA,NA
Computer Science,Finance,Statistics and Machine Learning
Molecular Biology,Philosophy,NA
Princeton School of Public and International Affairs,Urban Studies,East Asian Studies
Molecular Biology,Global Health and Health Policy,Translation and Intercultural Communication
Computer Science,Statistics and Machine Learning,Quantitative Economics
Molecular Biology,Engineering Biology,Computer Science
Computer Science,Statistics and Machine Learning,NA
Computer Science,Statistics and Machine Learning,Finance
Princeton School of Public and International Affairs,Statistics and Machine Learning,NA
Molecular Biology,Global Health and Health Policy,Neuroscience
Molecular Biology,Global Health and Health Policy,NA
Psychology,African American Studies,NA
Neuroscience,Finance,NA
Molecular Biology,Global Health and Health Policy,NA
Electrical and Computer Engineering,NA,NA
Ecology and Evolutionary Biology,Korean Language,NA
Computer Science,Statistics and Machine Learning,NA
Neuroscience,Classics,NA
Computer Science,History,Entrepreneurship
Sociology,Creative Writing,Entrepreneurship
Molecular Biology,NA,NA
Molecular Biology,Latin American Studies,Global Health and Health Policy
Classics,Spanish and Portuguese,Philosophy
Physics,Statistics and Machine Learning,Applied and Computational Mathematics
Psychology,Neuroscience,NA
History,Finance,Translation and Intercultural Communication
Computer Science,Finance,NA
Economics,Computer Science,NA
Molecular Biology,Global Health and Health Policy,NA
Anthropology,Japanese Language,Global Health and Health Policy
Computer Science,Statistics and Machine Learning,NA
Molecular Biology,Global Health and Health Policy,Philosophy
Classics,NA,NA
Molecular Biology,Global Health and Health Policy,NA
Computer Science,Statistics and Machine Learning,NA
Molecular Biology,Engineering Biology,NA
Princeton School of Public and International Affairs,Spanish Language,NA
Computer Science,Finance,NA
Computer Science,Finance,NA
Molecular Biology,Global Health and Health Policy,NA
Computer Science,Linguistics,Finance
Operations Research and Financial Engineering,Statistics and Machine Learning,NA
Computer Science,Statistics and Machine Learning,Journalism
Molecular Biology,History,Global Health and Health Policy
Molecular Biology,NA,NA
Economics,Statistics and Machine Learning,NA
Computer Science,Statistics and Machine Learning,Spanish
Economics,Finance,Statistics and Machine Learning
Molecular Biology,East Asian Studies,Gender and Sexuality Studies
Computer Science,Statistics and Machine Learning,Quantitative Economics
Computer Science,Philosophy,NA
Ecology and Evolutionary Biology,Environmental Studies,NA
Princeton School of Public and International Affairs,English,Japanese Language
Psychology,Cognitive Science,NA
Molecular Biology,Global Health and Health Policy,Neuroscience
Neuroscience,Language and Culture,NA
Computer Science,Chinese Language,NA
Psychology,French Language Minor,NA
Molecular Biology,Neuroscience,Global Health and Health Policy
Electrical and Computer Engineering,Statistics and Machine Learning,Computer Science
Computer Science,Engineering Biology,Statistics and Machine Learning
Electrical and Computer Engineering,Computer Science,Robotics and Intelligent Systems
Princeton School of Public and International Affairs,NA,NA
