song1,artist1,song2,artist2
KEHLANI,Jordan Adetunji,Family,eyden
"Okay, Okay",Pino D'Angio,Cool Cat,Queen
Call Me Maybe,Carly Rae Jepsen,Don't Stop Believing,Journey
NA,NA,NA,NA
Two Weeks,Grizzly Bear,Impossible Germany,Wilco
Masterpiece,Sault,DARE,Gorillaz
Die With A Smile,"Lady Gaga, Bruno Mars",365,Charlie xcx
3 Daqat,Abu,Jap Deep Jale Aana,Hemlata
Mi Corazoncito,Prince Royce,Beautiful Things,Benson Boone
Let the Wind Tell You,ChiliChill,All Night,(G)I-DLE
Saturn,SZA,MOJABI GHOST,"Tainy, Bad Bunny"
Good Days,SZA,Me and Your Mama,Childish Gambino
Taswell,C418,Anima,Xi
Only My Railgun,fripSide,Superstar,S.H.E
By Your Side,Sade,adore u,Fred again..
Feather,Sabrina Carpenter,Don't Stop Believin',Journey
Doses and Mimosas,The Chreubs,High and Low,Empire of the Sun
Please Please Please,Sabrina Carpenter,Charm,Rema
Runner,Alex G,The Place Where He Inserted the Blade,"Black Country, New Road"
Radioactive,Imagine Dragons,Paradise,Coldplay
Dreamer's Ball,Queen,Summer Soft,Stevie Wonder
Fresh Air,Weston Estate,Pears,Weston Estate
Hotel California,Eagles,Fly Me to the Moon,Frank Sinatra
All The Stars,"Kendrick Lamar, SZA",My Type,Saint Motel
Never Let Me Down Again,Depeche Mode,Little Lies,Fleetwood Mac
Ex-Factor,Lauren Hill,High,Slow Pulp
Your Soul,"Biskwiq, Forrest Frank",prove me wrong,MICO
Rescue,Lauren Daigle,Armor,Iniko
East Side,"Halsey, Khalid",Eight,IU
Used to Love U,John Legend,Love Affair,UMI
Linger,The Cranberries,There She Goes,The La's
All of the Lights (Interlude),Kanye West,Hide Away,Daya
Style (Taylor's Version),Taylor Swift,Head Over Heels,ABBA
Pink (Freak),Elliot Lee,Black Sheep,Palaye Royale
Snooze,SZA,Crazy in Love,"Beyoncé, Jay-Z"
All in Alabama,Hank Williams Jr.,Treacherous,Taylor Swift
Free Now,Gracie Abrams,Sharpest Tool,Sabrina Carpenter
Lover Boy,Phum Viphurit,OMG,New Jeans
Unstoppable,Sia,Let It Be,The Beatles
Dream,keshi,Hide Away,Daya
Death & Romance,Magdalena Bay,Jigsaw Falling Into Place,Radiohead
Jump,"Tyla, Skillibeng, Gunna",Où aller,Gims
Stars Align,"Majid Jordan, Drake",New Drop,Don Toliver
Sono Chi no Sadame,Coda,Motownphilly,Boyztomen
Apple,Charli XCX,Rolling in the Deep,Adele
Espresso,Sabrina Carpenter,Love,Keyshia Cole
Low Rider,War,Take The Money And Run,Steve Miller Band
Beaches,beabadoobee,Blue Hair,TV Girl
Stick Season,Noah Kahan,Rather Be,"Clean Bandit, Jess Glynne"
Walking on a Dream,Empire of The Sun,On Top Of The World,Imagine Dragons
Something to Remember,Matt Hansen,The Door,Teddy Swims
Chamomile,Jeff Bernat,Dance,"LAGHEADS, HIMI"
Melting Vibes,The Mellowells,The Gates,Twin Suns
Linger,The Cranberries,Better Than I Know Myself,Del Water Gap
diamonds,Amaarae,Juna,Clairo
Far Away,Tiffany Day,Don't Let Me Down,Daya
Make Luv,Room 5,Need U Home 2nite,Subjoi
BIRDS OF A FEATHER,Billie Eilish,Paranoia,The Marías
The Calendar,Panic! At the Disco,Louder than Bombs,BTS
NA,"Can Ozan, Deniz Tekin",Mutlu Olmak Zordur Derler,Can Ozan
willow,Taylor Swift,Wherever I Live,Alessia Cara
Ya Ya,Beyoncé,Stepped On,KAYTRANADA
Honesty,Billy Joel,Reality,Richard Sanderson
Nobody,One Republic,Castle on the Hill,Ed Sheeran
NA,NA,Rooftop,N.Flying
Social Cues,Cage the Elephant,Metamodernity,Vansire
Pink Pony Club,Chappell Roan,Keep Driving,Harry Styles
Love Affair,UMI,Chunky,Bruno Mars
Armageddon,aespa,Remember Me,UMI
Better in the Dark,"Jordana, TV Girl",California,Beabadoobee
Slim Pickings,Sabrina Carpenter,Buzz,NIKI
Heaven Sent,Esthero,Little Things,Still Woozy
Image,Magdalena Bay,"Fear, Sex",Magdalena Bay
The Climb,Miley Cyrus,Oceans,Hillsong
Real Life,The Marias,Black Beauty,Lana Del Rey
Die With A Smile,"Bruno Mars, Lady Gaga",Good Days,SZA
Hide Away,Daya,Slower,Tate McRae
Hide Away,Daya,Radio,Lana Del Ray
Espresso,Sabrina Carpenter,Stupid For You,Waterparks
Vienna,Billy Joel,invisible string,Taylor Swift
MIA,"Bad Bunny, Drake",Heartbreak Weather,Niall Horan
Redemption Song,Bob Marley,Is This Love,Bob Marley
Careless Whisper,George Michael,Blinding Lights,The Weeknd
Hall of Fame,the Script,Eye of the Tiger,Survivor
Long Live,Taylor Swift,Unwritten,Natasha Bedingfield
AM:PM,"NOTD, Maia Wright",Chasing Fire,Lauv
Sign of the Times,Harry Styles,Forever Young,Alphaville
Red,Taylor Swift,Free Now,Gracie Abrams
Fortnight,Taylor Swift,Mai,Videoclub
Metamodernity,Vansire,Roommates,Malcolm Todd
Red Wine Supernova,Chappell Roan,Kids,MGMT
Good Graces,Sabrina Carpenter,Taste,Sabrina Carpenter
Bella ciao,Unknown,Let It Be,The Beatles
Saturn,SZA,Isn't She Lovely,Stevie Wonder
Starry Night,Fifty Fifty,Die With a Smile,"Bruno Mars, Lady Gaga"
It Could Happen to You,Chet Baker,Jigsaw Falling into Place,Radiohead
Ingabe,Impakanizi,Musomandera,Ruti Joel
Summer Wind,Frank Sinatra,Should I Stay or Should I Go - Remastered,The Clash
Ingenue,Atoms for Peace,Amber,311
Dried Flower,Yuuri,Fools Like Me,Lisa Loeb
Apple,Charli xcx,Right Now,NewJeans
GOOD DAY,Forrest Frank,Amazing Grace,Forrest Frank
Save Your Tears,"The Weeknd, Ariana Grande",Supernatural,Ariana Grande
Tunak Tunak Tun,Daler Mehndi,Poisoning Pigeons in the Park,Tom Lehrer
Say Yes,Elliott Smith,Hype Boy,NewJeans
Saturn,SZA,Home,Good Neighbors
Riot,Childish Gambino,Mais Que Nada,"Sergio Mendes, Brasil '66"
See You Again,"Tyler, The Creator",Small Worlds,Mac Miller
Siesta Freestyle,"Alicia te quiero, Lewis OfMan",Wonderful Nothing,Glass Animals
Reforget,Lauv,Bracelet,Lauv
Champagne Coast,Blood Orange,Feelings,Lauv
No Problems,Ginger Root,The girl in my memories (Digging club Seoul Version),jeebanoff
Hide Away,Daya,22,Taylor Swift
Happy Together,"Gerard Way, Ray Toro",Good Graces,Sabrina Carpenter
Give Me the Night,George Benson,Sugaree,Jerry Garcia
Doll,Foo Fighters,Loving Machine,TV Girl
El Layali,Barry Can't Swim,Sumac,Charif Megarbane
Some,Bol4,Glue Song,Beabadoobee
Valerie,"Mark Ronson, Amy Winehouse",Put Your Records On,Corinne Bailey Rae
Family,Koji Kondo,Gusty Garden Galaxy,Mahito Yokota
My Truth,Cocteau Twins,Pink + White,Frank Ocean
Valentina,Daniel Caesar,Pistachios,Brent Faiyaz
Buzz,NIKI,Beaches,Beabadoobee
Bye Bye My Blue,Yerin Baek,A Walk,Yerin Baek
Care For You,The Marías,KEEP IT COOL,"Internet Money, Rich Amiri"
Don't Blame Me,Taylor Swift,Von dutch,Charli XCX
Don't Stop the Music,Rihanna,Otherside,Red Hot Chili Peppers
Thinking Bout You,Frank Ocean,breaking news,flowerovlove
Yet To Come,BTS,I Can Do It With a Broken Heart,Taylor Swift
Saving Up,Dom Dolla,Beggin',"Chris Lake, Aluna"
Everywhere Everything,Noah Kahan,NA,Ariana Grande
Zigeunerweisen,Pablo Sarasate,Moog City 2,C418
Rachmaninoff: Piano Concerto no.2 op.18.,Rachmaninoff.,Nespresso.,Taylor Swift.
