Year,Storms,Hurricanes,Deaths,Damage,Retired Names
2018,15,8,173,50205,"Florence, Michael"
2017,17,10,3364,29467,"Harvey, Irma, Maria, Nate"
2016,15,7,748,17490,"Matthew, Otto"
2015,12,4,89,590,"Erika, Joaquin"
2014,9,6,17,232,
2013,13,2,47,1510,Ingrid
2012,19,10,199,75000,Sandy
2011,19,7,100,21000,Irene
2010,21,12,287,12356,"Igor, Tomas"
2009,11,3,6,77,
2008,16,8,761,24945,"Gustav, Ike, Paloma"
2007,15,6,341,50,"Dean, Felix, Noel"
2006,10,5,5,500,
2005,28,15,3483,115520,"Dennis, Katrina, Rita, Stan, Wilma"
2004,15,9,3126,45235,"Charley, Frances, Ivan, Jeanne"
2003,16,7,50,3580,"Fabian, Isabel, Juan"
2002,12,4,23,1220,"Isidore, Lili"
2001,15,9,92,5260,"Allison, Iris, Michelle"
2000,15,8,30,26,Keith
1999,12,8,78,5532,"Floyd, Lenny"
1998,14,10,9715,3165,"Georges, Mitch"
1997,8,3,4,100,
1996,13,9,126,3600,"Cesar, Fran, Hortense"
1995,19,11,117,3729,"Luis, Marilyn, Opal, Roxanne"
1994,7,3,1175,973,
