CouncilDistrict,OffenseCategory,ReportMonthYear,CrimeCount
1,Fraud Offenses,January 2015,104
1,Larceny Offenses,January 2015,415
NA,Vandalism,January 2015,25
2,Vandalism,January 2015,155
3,Vandalism,January 2015,117
3,Larceny Offenses,January 2015,558
1,Burglary,January 2015,143
1,Vandalism,January 2015,126
1,Weapon Law Violations,January 2015,21
2,Larceny Offenses,January 2015,475
4,Larceny Offenses,January 2015,600
3,Robbery,January 2015,12
1,Extortion/Blackmail,January 2015,2
4,Robbery,January 2015,19
1,Sex Offenses,January 2015,7
2,Weapon Law Violations,January 2015,15
2,Prostitution Offenses,January 2015,2
NA,Larceny Offenses,January 2015,177
1,Prostitution Offenses,January 2015,10
1,Robbery,January 2015,34
4,Vandalism,January 2015,82
4,Burglary,January 2015,58
2,Robbery,January 2015,24
NA,Fraud Offenses,January 2015,172
4,Assault Offenses,January 2015,3
3,Burglary,January 2015,136
2,Sex Offenses,January 2015,5
4,Fraud Offenses,January 2015,69
2,Assault Offenses,May 2015,155
3,Fraud Offenses,January 2015,66
NA,Counterfeiting/Forgery,January 2015,10
2,Motor Vehicle Theft,January 2015,55
4,Sex Offenses,January 2015,2
3,Prostitution Offenses,January 2015,14
NA,Robbery,January 2015,5
NA,Prostitution Offenses,January 2015,2
3,Sex Offenses,January 2015,1
3,Vandalism,February 2015,90
3,Larceny Offenses,February 2015,403
2,Larceny Offenses,February 2015,402
1,Vandalism,February 2015,94
3,Assault Offenses,February 2015,3
1,Burglary,February 2015,80
1,Extortion/Blackmail,February 2015,2
1,Drug/Narcotic Offenses,February 2015,55
1,Larceny Offenses,February 2015,377
4,Burglary,February 2015,63
4,Larceny Offenses,February 2015,468
4,Vandalism,February 2015,81
4,Fraud Offenses,February 2015,96
2,Vandalism,February 2015,93
2,Fraud Offenses,February 2015,81
2,Counterfeiting/Forgery,February 2015,15
4,Assault Offenses,February 2015,2
1,Counterfeiting/Forgery,February 2015,28
2,Robbery,February 2015,22
1,Fraud Offenses,February 2015,79
2,Drug/Narcotic Offenses,February 2015,28
1,Prostitution Offenses,February 2015,8
3,Prostitution Offenses,February 2015,4
NA,Fraud Offenses,February 2015,249
1,Robbery,February 2015,21
2,Assault Offenses,February 2015,2
1,Assault Offenses,February 2015,7
3,Robbery,February 2015,8
2,Sex Offenses,February 2015,3
3,Fraud Offenses,February 2015,52
3,Counterfeiting/Forgery,February 2015,12
1,Weapon Law Violations,February 2015,14
3,Burglary,February 2015,109
NA,Larceny Offenses,February 2015,112
1,Sex Offenses,February 2015,2
4,Motor Vehicle Theft,February 2015,57
2,Prostitution Offenses,February 2015,4
NA,Vandalism,February 2015,23
2,Larceny Offenses,March 2015,419
4,Sex Offenses,March 2015,2
3,Larceny Offenses,March 2015,487
3,Drug/Narcotic Offenses,March 2015,28
3,Sex Offenses,March 2015,8
1,Larceny Offenses,March 2015,392
1,Vandalism,March 2015,120
2,Vandalism,March 2015,108
1,Weapon Law Violations,March 2015,22
4,Larceny Offenses,March 2015,458
2,Fraud Offenses,March 2015,95
2,Counterfeiting/Forgery,March 2015,4
3,Prostitution Offenses,March 2015,11
1,Fraud Offenses,March 2015,108
1,Prostitution Offenses,March 2015,15
3,Vandalism,March 2015,113
NA,Larceny Offenses,March 2015,149
3,Burglary,March 2015,131
2,Sex Offenses,March 2015,3
1,Burglary,March 2015,107
2,Weapon Law Violations,March 2015,11
4,Vandalism,March 2015,80
3,Fraud Offenses,March 2015,77
3,Counterfeiting/Forgery,March 2015,7
NA,Sex Offenses,March 2015,4
3,Assault Offenses,March 2015,21
1,Drug/Narcotic Offenses,March 2015,77
1,Sex Offenses,March 2015,3
1,Assault Offenses,March 2015,26
2,Assault Offenses,March 2015,20
NA,Vandalism,March 2015,19
2,Robbery,March 2015,15
2,Burglary,March 2015,84
4,Burglary,March 2015,50
NA,Assault Offenses,March 2015,6
NA,Fraud Offenses,March 2015,293
4,Assault Offenses,March 2015,23
3,Burglary,April 2015,104
1,Sex Offenses,April 2015,13
4,Fraud Offenses,April 2015,125
4,Counterfeiting/Forgery,April 2015,10
3,Assault Offenses,April 2015,110
2,Fraud Offenses,April 2015,101
1,Larceny Offenses,April 2015,381
1,Vandalism,April 2015,141
3,Kidnapping/Abduction,April 2015,2
3,Extortion/Blackmail,April 2015,1
2,Motor Vehicle Theft,April 2015,75
1,Assault Offenses,April 2015,177
2,Larceny Offenses,April 2015,462
4,Assault Offenses,April 2015,100
3,Weapon Law Violations,March 2015,7
2,Assault Offenses,April 2015,108
3,Drug/Narcotic Offenses,April 2015,45
1,Burglary,April 2015,103
NA,Sex Offenses,April 2015,6
4,Vandalism,April 2015,98
4,Sex Offenses,April 2015,8
2,Counterfeiting/Forgery,April 2015,11
3,Sex Offenses,April 2015,8
1,Drug/Narcotic Offenses,April 2015,57
4,Larceny Offenses,April 2015,437
1,Robbery,April 2015,9
1,Kidnapping/Abduction,April 2015,1
3,Motor Vehicle Theft,April 2015,78
2,Sex Offenses,April 2015,15
2,Vandalism,April 2015,117
4,Kidnapping/Abduction,April 2015,3
1,Fraud Offenses,April 2015,90
4,Human Trafficking Offenses,April 2015,1
3,Larceny Offenses,April 2015,426
2,Burglary,April 2015,80
2,Kidnapping/Abduction,April 2015,4
NA,Assault Offenses,April 2015,7
3,Fraud Offenses,April 2015,105
3,Weapon Law Violations,April 2015,8
4,Arson,April 2015,3
2,Weapon Law Violations,April 2015,10
4,Burglary,April 2015,43
3,Vandalism,April 2015,136
1,Counterfeiting/Forgery,March 2015,11
3,Assault Offenses,May 2015,127
3,Kidnapping/Abduction,May 2015,2
1,Vandalism,May 2015,128
1,Assault Offenses,May 2015,188
4,Drug/Narcotic Offenses,May 2015,90
3,Robbery,May 2015,14
3,Weapon Law Violations,May 2015,13
4,Assault Offenses,May 2015,149
3,Larceny Offenses,May 2015,498
1,Fraud Offenses,May 2015,106
2,Sex Offenses,May 2015,14
2,Vandalism,May 2015,135
3,Fraud Offenses,May 2015,88
NA,Sex Offenses,May 2015,9
1,Larceny Offenses,May 2015,446
1,Robbery,March 2015,19
3,Assault Offenses,January 2015,2
2,Human Trafficking Offenses,April 2015,1
4,Sex Offenses,May 2015,11
2,Larceny Offenses,May 2015,438
2,Drug/Narcotic Offenses,May 2015,24
3,Sex Offenses,May 2015,9
NA,Drug/Narcotic Offenses,May 2015,1
NA,Fraud Offenses,May 2015,63
1,Sex Offenses,May 2015,14
1,Kidnapping/Abduction,May 2015,3
3,Vandalism,May 2015,155
1,Motor Vehicle Theft,May 2015,87
NA,Human Trafficking Offenses,January 2015,1
NA,Vandalism,May 2015,8
NA,Counterfeiting/Forgery,March 2015,6
2,Fraud Offenses,May 2015,94
4,Vandalism,May 2015,177
1,Robbery,May 2015,15
1,Burglary,May 2015,88
3,Drug/Narcotic Offenses,May 2015,26
4,Human Trafficking Offenses,May 2015,1
NA,Assault Offenses,May 2015,5
1,Drug/Narcotic Offenses,May 2015,56
4,Larceny Offenses,May 2015,562
2,Robbery,May 2015,19
4,Fraud Offenses,May 2015,104
NA,Larceny Offenses,May 2015,45
2,Burglary,May 2015,83
2,Kidnapping/Abduction,May 2015,4
1,Pornography/Obscene Material,May 2015,1
1,Counterfeiting/Forgery,May 2015,42
3,Assault Offenses,June 2015,118
2,Assault Offenses,June 2015,162
1,Assault Offenses,June 2015,189
3,Larceny Offenses,June 2015,473
3,Arson,June 2015,3
1,Burglary,June 2015,76
1,Motor Vehicle Theft,June 2015,93
2,Larceny Offenses,June 2015,447
4,Assault Offenses,June 2015,158
3,Prostitution Offenses,May 2015,12
2,Weapon Law Violations,May 2015,10
NA,Larceny Offenses,April 2015,52
2,Sex Offenses,June 2015,7
1,Prostitution Offenses,June 2015,8
1,Vandalism,June 2015,120
1,Larceny Offenses,June 2015,457
3,Vandalism,June 2015,119
1,Sex Offenses,June 2015,18
1,Drug/Narcotic Offenses,June 2015,50
3,Motor Vehicle Theft,June 2015,83
2,Vandalism,June 2015,98
3,Sex Offenses,June 2015,6
NA,Assault Offenses,June 2015,6
1,Fraud Offenses,June 2015,106
3,Burglary,June 2015,105
4,Sex Offenses,June 2015,5
4,Larceny Offenses,June 2015,539
NA,Sex Offenses,June 2015,6
NA,Robbery,June 2015,2
2,Robbery,June 2015,18
1,Weapon Law Violations,June 2015,24
4,Robbery,June 2015,25
4,Vandalism,June 2015,154
1,Kidnapping/Abduction,June 2015,1
4,Burglary,May 2015,55
2,Kidnapping/Abduction,June 2015,2
4,Fraud Offenses,June 2015,75
NA,Kidnapping/Abduction,June 2015,2
3,Drug/Narcotic Offenses,June 2015,20
NA,Vandalism,June 2015,11
2,Prostitution Offenses,June 2015,2
NA,Extortion/Blackmail,June 2015,1
1,Embezzlement,June 2015,3
4,Drug/Narcotic Offenses,June 2015,60
NA,Fraud Offenses,June 2015,41
2,Fraud Offenses,June 2015,77
3,Assault Offenses,July 2015,108
2,Assault Offenses,July 2015,139
1,Assault Offenses,July 2015,197
4,Assault Offenses,July 2015,105
1,Drug/Narcotic Offenses,July 2015,65
3,Robbery,July 2015,5
NA,Fraud Offenses,July 2015,26
NA,Larceny Offenses,July 2015,37
3,Vandalism,July 2015,169
2,Larceny Offenses,July 2015,468
2,Vandalism,July 2015,119
4,Vandalism,July 2015,151
NA,Vandalism,July 2015,5
1,Larceny Offenses,July 2015,525
3,Sex Offenses,July 2015,9
1,Vandalism,July 2015,164
1,Sex Offenses,July 2015,15
4,Sex Offenses,July 2015,10
