INSTNM,UGDS,STABBR,LATITUDE,LONGITUDE,ADM_RATE,C150_4,RET_FT4,MD_EARN_WNE_P10,ENDOWBEGIN
University of Alabama at Birmingham,12776,AL,33.505697,-86.799345,0.8668,0.6442,0.8243,54501,711616804
University of Alabama in Huntsville,6985,AL,34.724557,-86.640449,0.781,0.6295,0.8018,61767,100321016
Alabama State University,3296,AL,32.364317,-86.295677,0.966,0.2773,0.596,34502,130589167
The University of Alabama,31360,AL,33.211875,-87.545978,0.8006,0.7276,0.8668,59221,1237611651
Auburn University at Montgomery,3307,AL,32.36736,-86.177544,0.9223,0.3584,0.7016,44391,64217660
Auburn University,25234,AL,32.599378,-85.488258,0.4374,0.8075,0.9261,65337,993955140
Birmingham-Southern College,968,AL,33.513774,-86.850552,0.5717,0.6463,0.7746,59481,53984787
Faulkner University,1587,AL,32.384181,-86.21641,0.8241,0.33,0.6316,43457,21332492
Huntingdon College,810,AL,32.351034,-86.284366,0.6595,0.5018,0.648,49601,60206711
Heritage Christian University,72,AL,34.856153,-87.663051,1,0,1,42597,15150265
Jacksonville State University,7066,AL,33.822938,-85.765321,0.7846,0.5224,0.6566,45235,15173146
University of West Alabama,2424,AL,32.588132,-88.186329,0.6886,0.3846,0.691,44232,428978
University of Mobile,1108,AL,30.793247,-88.128934,0.8408,0.4574,0.68,43611,20155794
University of Montevallo,2128,AL,33.10625,-86.865099,0.5984,0.5476,0.7322,42957,31054586
University of North Alabama,5408,AL,34.80731,-87.680407,0.9568,0.523,0.7635,45415,50431808
Oakwood University,1378,AL,34.756344,-86.652705,0.6805,0.4667,0.7706,42488,26286780
Samford University,3668,AL,33.464128,-86.791799,0.8326,0.7779,0.9096,58469,368437572
University of South Alabama,8171,AL,30.696033,-88.178711,0.6536,0.4767,0.6878,49379,548311000
Spring Hill College,932,AL,30.694751,-88.138199,0.7263,0.6156,0.8093,51500,22433426
Stillman College,727,AL,33.200006,-87.585278,0.6454,0.248,0.633,35421,22181481
Troy University,10316,AL,31.799583,-85.95802,0.9484,0.4552,0.7477,42062,192154272
Tuskegee University,2100,AL,32.4309,-85.708492,0.2969,0.6728,0.756,49641,154987957
Arizona State University Campus Immersion,64778,AZ,33.417721,-111.934383,0.8975,0.669,0.8536,62668,1035665824
University of Arizona,37979,AZ,32.232672,-110.950815,0.8676,0.6793,0.8564,59979,1265827492
Embry-Riddle Aeronautical University-Prescott,3114,AZ,34.616766,-112.449741,0.68,0.7062,0.7823,84131,73862000
Northern Arizona University,23090,AZ,35.188449,-111.653724,0.79990000000000006,0.5912,0.7594,54384,272227419
Prescott College,313,AZ,34.5452,-112.477185,0.9838,0.5532,0.5278,42359,2417535
Arizona Christian University,1028,AZ,33.622952,-112.181776,0.7014,0.4531,0.6033,51612,576455
University of Arkansas at Little Rock,4802,AR,34.723254,-92.339778,0.6146,0.4193,0.7452,45265,173419237
Lyon College,489,AR,35.777619,-91.625354,0.5984,0.3831,0.5072,44232,108524843
University of Arkansas,26002,AR,36.070009,-94.176981,0.7893,0.6919,0.8558,58191,1682003955
University of Arkansas at Pine Bluff,2155,AR,34.244031,-92.018683,0.6933,0.4115,0.5891,35550,8144917
Arkansas State University,7463,AR,35.842388,-90.679988,0.6951,0.5281,0.7756,42617,103761286
Arkansas Tech University,6108,AR,35.293237,-93.13562,0.9439,0.4887,0.6289,41766,63150376
University of Central Arkansas,7563,AR,35.077945,-92.457672,0.9121,0.5008,0.7413,45938,56022534
Central Baptist College,489,AR,35.083838,-92.445021,0.6394,0.392,0.6261,46789,4425483
Harding University,3198,AR,35.247386,-91.726143,0.4512,0.6947,0.8443,52876,215620486
Henderson State University,1800,AR,34.128155,-93.059703,0.7066,0.3922,0.5718,43459,26733633
Hendrix College,1127,AR,35.101565,-92.443256,0.6028,0.6857,0.7905,60376,239600607
John Brown University,1354,AR,36.189812,-94.560283,0.5664,0.7121,0.8445,53907,168713795
Ouachita Baptist University,1587,AR,34.126093,-93.052471,0.7232,0.6506,0.7897,51673,145465427
University of the Ozarks,767,AR,35.476278,-93.467221,0.6008,0.4096,0.6853,44384,135708990
Williams Baptist University,556,AR,36.125676,-90.940277,0.5931,0.4495,0.5789,38484,14246058
Southern Arkansas University Main Campus,2787,AR,33.291618,-93.235922,0.6361,0.4454,0.7054,42386,56871295
Art Center College of Design,2113,CA,34.169031,-118.185102,0.7097,0.7547,0.8587,71958,133281000
Azusa Pacific University,3344,CA,34.130047,-117.888375,0.87,0.6127,0.7788,66677,100257631
Biola University,3474,CA,33.906203,-118.014374,0.5663,0.7206,0.8432,56778,183701962
California Baptist University,8077,CA,33.929321,-117.425619,0.7992,0.6325,0.725,61504,103827086
California College of the Arts,1134,CA,37.767485,-122.399451,0.7569,0.7216,0.7847,49414,48581000
California Institute of Technology,982,CA,34.137349,-118.125878,0.0269,0.9404,0.9814,128566,4022359000
California Lutheran University,2510,CA,34.224566,-118.878924,0.8718,0.732,0.8102,68712,145735309
California Polytechnic State University-San Luis Obispo,20976,CA,35.299513,-120.65731100000001,0.3043,0.8547,0.9397,90768,287263401
California State University-Bakersfield,8108,CA,35.350005,-119.104711,0.8655,0.4969,0.7291,59009,36234619
California State University-Stanislaus,8836,CA,37.52577,-120.852511,0.9661,0.5526,0.8078,63188,19952255
California State University-San Bernardino,16712,CA,34.182622,-117.323801,0.9108,0.5442,0.8008,59977,55847119
California State Polytechnic University-Pomona,25080,CA,34.057912,-117.821476,0.5538,0.6632,0.8668,71902,165967403
California State University-Chico,12853,CA,39.729712,-121.844859,0.95,0.6418,0.7986,64172,90007504
California State University-Dominguez Hills,13903,CA,33.864766,-118.255917,0.8913,0.4646,0.7021,57162,18223221
California State University-Fresno,20985,CA,36.811154,-119.744569,0.9543,0.5623,0.7571,61244,208774969
California State University-Fullerton,35249,CA,33.881506,-117.885446,0.6672,0.693,0.8551,62951,106015057
California State University-East Bay,10709,CA,37.657694,-122.054135,0.962,0.4552,0.7492,71401,20765213
California State University-Long Beach,32780,CA,33.782818,-118.11204,0.3995,0.7265,0.8544,64403,109666865
California State University-Los Angeles,22690,CA,34.066927,-118.168965,0.8694,0.5143,0.7348,59211,63636268
California State University-Northridge,32103,CA,34.240126,-118.529319,0.9123,0.5599,0.747,59115,174274264
California State University-Sacramento,28544,CA,38.559415,-121.423549,0.9321,0.5446,0.8024,64876,73709374
University of California-Berkeley,32475,CA,37.871918,-122.260463,0.1133,0.9403,0.9588,92446,2985932000
University of California-Davis,31512,CA,38.539667,-121.749567,0.3734,0.8634,0.919,80838,643190000
University of California-Irvine,28651,CA,33.648434,-117.841248,0.2115,0.8661,0.9127,80735,762109000
University of California-Los Angeles,32423,CA,34.07178,-118.442179,0.0857,0.9248,0.9656,82511,3161977000
University of California-Riverside,22842,CA,33.97246,-117.32741,0.6869,0.7602,0.8735,67699,259599000
University of California-San Diego,33092,CA,32.877749,-117.235866,0.2371,0.8773,0.9339,84943,1258061000
University of California-Santa Barbara,23419,CA,34.416297,-119.846426,0.2585,0.8567,0.9236,74915,377817000
University of California-Santa Cruz,17502,CA,36.995584,-122.058801,0.4692,0.7691,0.8797,68396,155697000
California Institute of the Arts,931,CA,34.39327,-118.566837,0.2476,0.6382,0.848,41198,234418752
California State University Maritime Academy,808,CA,38.069061,-122.231551,0.955,0.6314,0.7282,94784,13514934
Chapman University,7665,CA,33.79302,-117.852518,0.7252,0.8363,0.9129,70070,564411000
Concordia University-Irvine,1691,CA,33.653665,-117.812305,0.6899,0.6305,0.695,65083,44436329
Claremont McKenna College,1383,CA,34.102154,-117.711188,0.1035,0.9128,0.9579,104736,1313226000
Dominican University of California,1139,CA,37.981279,-122.512051,0.9318,0.7893,0.8525,84713,34890809
Fresno Pacific University,1743,CA,36.726831,-119.735199,0.75,0.5024,0.7538,58896,21733785
Harvey Mudd College,906,CA,34.106515,-117.709837,0.1336,0.9202,0.9733,138687,443743590
Holy Names University,564,CA,37.802276,-122.187804,1,0.5368,0.6465,76410,65883224
California State Polytechnic University-Humboldt,5373,CA,40.877481,-124.078293,0.9818,0.4555,0.7406,47626,36335250
Life Pacific University,395,CA,34.098705,-117.829388,0.9448,0.4667,0.6897,43299,4787112
University of La Verne,3363,CA,34.100855,-117.773262,0.7351,0.6322,0.769,65464,146560560
Laguna College of Art and Design,729,CA,33.561448,-117.772564,0.8837,0.631,0.7851,47867,3863034
La Sierra University,1216,CA,33.910704,-117.500054,0.9185,0.5385,0.7641,61824,23441032
The Master's University and Seminary,1496,CA,34.381755,-118.518193,0.7818,0.7326,0.861,57106,48079806
Loyola Marymount University,7138,CA,33.97085,-118.415744,0.4131,0.8152,0.8773,78349,623508000
Menlo College,786,CA,37.453475,-122.190797,0.6172,0.5695,0.7095,76419,29216495
Mount Saint Mary's University,1778,CA,34.085315,-118.482879,0.7576,0.5959,0.772,72379,180781895
Occidental College,1935,CA,34.127124,-118.210908,0.394,0.8267,0.8897,75951,575809817
Otis College of Art and Design,1264,CA,33.956607,-118.416615,0.8329,0.6158,0.7625,58152,24557904
Hope International University,590,CA,33.87616,-117.88573,0.3222,0.5,0.6042,49697,9530225
Pacific Union College,772,CA,38.570585,-122.440308,0.4846,0.4661,0.75,70484,34745313
University of the Pacific,3266,CA,37.981424,-121.312301,0.9323,0.7372,0.8768,78445,625143890
Pepperdine University,3656,CA,34.037786,-118.707077,0.4871,0.8398,0.8837,82939,1145292000
Pitzer College,1212,CA,34.104107,-117.706675,0.184,0.8545,0.888,69512,179391175
Point Loma Nazarene University,3149,CA,32.718391,-117.250265,0.8193,0.7593,0.8459,63998,70249099
Pomona College,1699,CA,34.099027,-117.714556,0.0702,0.9463,0.9623,77779,3031446000
University of Redlands,2301,CA,34.064218,-117.163218,0.8187,0.669,0.7964,72690,259218537
San Diego State University,31810,CA,32.77525,-117.071228,0.3926,0.7801,0.8941,64909,418056006
University of San Diego,5569,CA,32.770816,-117.192073,0.5261,0.8262,0.9029,86522,692916000
San Francisco State University,21035,CA,37.721224,-122.476799,0.942,0.5469,0.8489,68077,181666299
University of San Francisco,5980,CA,37.776618,-122.450477,0.7118,0.7437,0.8093,89812,581569000
William Jessup University,1123,CA,38.819728,-121.292312,0.6592,0.5152,0.6706,56257,5330426
San Jose State University,26735,CA,37.336569,-121.880621,0.7671,0.6842,0.8513,78988,197133502
Santa Clara University,6103,CA,37.348362,-121.93784,0.5211,0.8852,0.9189,109183,1537642000
Scripps College,1073,CA,34.104147,-117.711294,0.2791,0.8407,0.9051,77539,540008783
Shasta Bible College and Graduate School,24,CA,40.566034,-122.314419,1,0.5,0,28891,25000
Saint Mary's College of California,1994,CA,37.840731,-122.109031,0.8789,0.7206,0.8602,78812,215804000
Sonoma State University,5892,CA,38.340274,-122.677066,0.94,0.597,0.7584,65986,45936172
Vanguard University of Southern California,2001,CA,33.662686,-117.900911,0.7484,0.5951,0.7227,59541,10119935
Southern California Institute of Architecture,245,CA,34.044215,-118.232799,0.5984,0.8571,0.7667,71909,5947000
University of Southern California,20505,CA,34.021281,-118.284169,0.1202,0.925,0.9655,92498,8126222000
Thomas Aquinas College,516,CA,34.429009,-119.087141,0.8473,0.8506,0.916,55619,32002602
Westmont College,1284,CA,34.450151,-119.662517,0.8199,0.7356,0.861,64778,95147951
Whittier College,1124,CA,33.978773,-118.032299,0.7545,0.6557,0.696,59492,143477085
Woodbury University,868,CA,34.208011,-118.341147,0.626,0.5481,0.713,65668,23307341
Adams State University,1307,CO,37.473636,-105.879642,0.9918,0.28,0.568,44372,62673
Colorado College,2174,CO,38.84886,-104.822697,0.163,0.8609,0.9144,65222,908636719
Colorado School of Mines,5662,CO,39.751443,-105.223364,0.58,0.8181,0.9362,97335,359223868
