animal_id,CLO_1A,CLO_2A,CLO_3A,CLO_4A,CLO_1B,CLO_2B,CLO_3B,CLO_4B,precept_short,precept_long,project_short,project_long,environment_lecture,environment_precept,environment_group,assignment_precept,assignment_project,assignment_coloring,assignment_exam
antifeministic_furseal,2,1,5,1,7,7,7,7,120,240,1,3,7,7,7,5,1,1,7
arctophilic_killdeer,1,1,1,2,7,7,6,5,15,80,4,10,6,7,6,7,7,5,5
bared_mollies,2,5,4,7,3,5,4,2,20,90,2,3,2,7,4,7,5,1,4
beamlike_shihtzu,1,1,3,2,5,6,6,5,90,200,2,5,5,3,1,7,7,3,7
bicolor_boaconstrictor,3,5,4,6,6,6,6,5,20,120,2,4,7,7,7,7,6,3,7
binding_zorilla,2,1,2,2,5,6,6,6,45,90,1.5,2.5,5,4,7,5,4,3,5
bioecological_mammal,1,1,1,1,6,6,6,7,60,180,3,4,7,7,7,6,6,3,4
brittle_northernhairynosedwombat,2,2,4,4,5,4,5,4,45,170,2,5,6,5,3,7,6,2,6
caloried_pug,4,2,2,5,6,7,7,5,40,200,3,5,5,3,6,6,4,2,5
catty_flicker,4,6,4,3,5,6,5,4,40,90,1.5,2,5,7,6,6,5,4,4
chantable_rhea,2,1,2,2,7,7,7,6,60,240,3,10,7,7,7,7,7,4,6
chondrite_peacock,5,5,5,5,7,7,7,7,20,60,2,4,7,7,7,7,7,1,5
commentative_auk,2,1,2,4,6,7,7,7,70,150,2.5,3,7,7,7,7,7,6,7
commonplace_hippopotamus,4,4,5,2,5,6,5,6,50,80,2,4,4,6,3,6,5,6,2
complete_cero,1,1,1,1,3,2,2,2,30,120,4,6,7,4,5,6,5,3,3
conchiolin_allosaurus,5,4,4,5,5,5,5,5,1,1.5,3,5,5,5,5,6,6,6,6
confusional_angelwingmussel,2,2,3,4,5,6,6,6,45,90,2,4,6,7,4,7,6,5,6
contrived_hypacrosaurus,3,2,1,4,4,4,3,6,120,300,2,6.666666666666667,5,4,7,6,5,5,4
convulsant_guppy,2,2,1,3,5,5,4,4,40,150,6,12,6,7,3,6,3,2,4
cowlike_bustard,3,3,3,3,6,6,6,7,3,5,5,5,7,5,1,5,5,7,2
curative_indianringneckparakeet,2,3,2,2,5,6,6,6,30,360,7,12,4,4,5,6,6,3,7
cussed_zorilla,2,1,2,1,5,6,5,7,35,100,2,5,6,6,7,7,6,4,3
